Society:	Общество:
religion	религия
heaven	небеса
hell	ад
death	смерть
medicine	медицина
money	деньги
dollar	доллар
bill	счет
marriage	брак
wedding	свадьба
team	команда
relationship	отношения
race	гонка, раса
sex	пол, секс
gender	пол
murder	убийство
prison	тюрьма
technology	технология
energy	энергия
war	война
peace	мир
attack	нападение, атака
election	выборы
magazine	журнал
newspaper	газета
poison	яд
gun	оружие
sport	спорт
sport race	спортивная гонка, спорт гонки
exercise	упражнения
ball	шар, мяч
game	игра
price	цена
contract	контракт, договор 
drug	препарат, наркотиками
sign	знак
science	наука
God	Бог
		
Art:	Искусство:
band	группа, ансамбл
song	песня
musical instrument	музыкальный инструмент
music	музыка
movie	кино, фильм
art	искусство
		
Beverages:	Напитки:
coffee	кофе
tea	чай
wine	вино
beer	пиво
juice	сок
water	вода
milk	молоко
beverageC.	напиток, beverageC 
		
Food:	Еда:
egg	яйцо
cheese	сыр
bread	хлеб
soup	суп
cake	пирог, торт
chicken	цыпленок, курица
pork	свинина
beef	говядина
apple	яблоко
banana	банан
orange	апельсин
lemon	лимон, ситрон
corn	зерно,	кукуруза
rice	рис
oil	нефть, масло
seed	семя
knife	нож
spoon	ложка
fork	вилка
plate	тарелка
cup	чашка
breakfast	завтрак
lunch	обед
dinner	ужин
sugar	сахар
salt	соль
bottle	бутылка
foodC.	еда	foodC 
		
Home:	Дом:
table	стол
chair	стул
bed	кровать
dream	мечта
window	окно
door	дверь
bedroom	спальня
kitchen	кухня
bathroom	ванная
pencil	карандаш
pen	ручка
photograph	фотография
soap	мыло
book	книга
page	страница
key	ключ
paint	краска
letter	письмо
note.	отметить.	обратите внимание. 
wall	стена
paper	бумага
floor	пол, этаж
ceiling	потолок
roof	крыша
pool	бассейн
lock	замок
telephone	телефон
garden	сад
yard	двор
needle	игла
bag	сумка
box	коробка
gift	подарок
card	карта
ring	кольцо
tool	инструмент
		
Electronics:	Электроника:
clock	часы
lamp	лампа
fan	вентилятор
cell.	клетка.
phone	телефон
network	сеть
computer	компьютер
program		программа
laptop	ноутбук
screen	экран
camera	аппарат
video camera	камера
television	телевидение
radio	радио
		
Body:	Тело:
head	голова
neck	шея
face	лицо
beard	борода
hair	волосы
eye	глаз
mouth	рот
lip	губа
nose	нос
tooth	зуб
ear	ухо
tear	слеза
tongue	язык
back	спина
toe	палец ноги
finger	палец
foot	нога
hand	рука
leg	нога
arm	рука
shoulder	плечо
heart	сердце
blood	кровь
brain	мозг
knee	колено
sweat	пот
disease	болезнь
bone	кость
voice	голос
skin	кожа
body	тело
		
Nature:	Природа:
sea	море
ocean	океан
river	река
mountain	гора
rain	дождь
snow	снег
tree	дерево
sun	солнце
moon	луна
world	мир
Earth	Земля
forest	лес
sky	небо
plant	растений 
wind	ветер
soil, earth	почва, земля
flower	цветок
valley	долина
root	корень
lake	озеро
star	звезда
grass	трава
leaf	лист
air	воздух
sand	песок
beach	пляж
wave	волна
fire	огонь
ice	лед
island	остров
hill	холм
heat	высокая температура
natureC.	природа	natureC 
		
Materials:	Материалы:
glass	стекло
metal	металл
plastic	пластмасса
wood.	древесина.	древесины. 
stone	камень
diamond	алмаз
clay	глина
dust	пыль
gold	золото
copper	медь
