n; religion;	религия
n; heaven  ;	небеса
n; hell;	ад ;
n; death   ;	смерть
n; medicine;	медицина
n; money   ;	деньги
n; dollar  ;	доллар
n; bill	;счет
n; marriage;	брак
n; wedding ;	свадьба
n; team	;команда
n; relationship;	отношения
n; race	;гонка, раса
n; sex	;пол, секс
n; gender  ;	пол
n; murder  ;	убийство
n; prison  ;	тюрьма
n; technology;	технология
n; energy  ;	энергия
n; war	;война
n; peace   ;	мир
n; attack  ;	нападение, атака
n; election;	выборы
n; magazine;	журнал
n; newspaper;	газета
n; poison  ;	яд
n; gun	;оружие
n; sport   ;	спорт
n; sport race;	спортивная гонка
n; exercise;	упражнения
n; ball	;шар, мяч
n; game	;игра
n; price   ;	цена
n; contract;	контракт, договор 
n; drug	;наркотик, препарат 
n; sign	;знак
n; science ;	наука
n; God;	бог;
n; band	;группа, ансамбл
n; song	;песня
n; musical instrument;	музыкальный инструмент
n; music;	музыка
n; movie;	кино, фильм
n; art	;искусство
n;coffee;	кофе;          DRINK
n;tea	;чай    ;       DRINK
n;wine	;вино   ;       DRINK
n;beer	;пиво   ;       DRINK
n;juice	;сок    ;       DRINK
n;water	;вода   ;       DRINK
n;milk	;молоко ;       DRINK
n;beverage;	напиток;   DRINK 
n;egg  ;	яйцо                ;FOOD
n;cheese   	сыр             ;FOOD
n;bread;	хлеб                ;FOOD
n;soup ;	суп                 ;FOOD
n;cake ;	пироженое, торт     ;FOOD
n;chicken;  	цыпленок, курица;FOOD
n;pork ;	свинина             ;FOOD
n;beef ;	говядина            ;FOOD
n;apple;	яблоко              ;FOOD
n;banana;   	банан           ;FOOD
n;orange;   	апельсин        ;FOOD
n;lemon;	лимон, ситрон       ;FOOD
n;corn ;	зерно,	кукуруза    ;FOOD
n;rice ;	рис                 ;FOOD
n;oil; масло, нефть          ;FOOD
n;seed ;	семя                ;FOOD
n;knife;	нож                 ;CUTLERY
n;spoon;	ложка               ;CUTLERY
n;fork ;	вилка               ;CUTLERY
n;plate;	тарелка             ;CUTLERY
n;cup  ;	чашка               ;CUTLERY
n;breakfast;	завтрак         ;FOOD
n;lunch;	обед                ;FOOD
n;dinner;   	ужин            ;FOOD
n;sugar;	сахар               ;FOOD
n;salt ;	соль                ;FOOD
n;bottle;   	бутылка         ;CUTLERY
n;food ;	еда                 ;FOOD
n; table;	стол
n; chair;	стул
n; bed ;	кровать, постель
n; dream;	мечта
n; window;	окно
n; door;	дверь
n; bedroom;	спальня
n; kitchen;	кухня
n; bathroom;	ванная
n; pencil;	карандаш
n; pen ;	ручка
n; photograph;	фотография
n; soap;	мыло
n; book;	книга
n; page;	страница
n; key ;	ключ
n; paint;	краска
n; letter;	письмо
n; note;	заметка, отметить, обратите внимание 
n; wall;	стена
n; paper;	бумага
n; floor;	пол, этаж
n; ceiling;	потолок
n; roof;	крыша
n; pool;	бассейн
n; lock;	замок
n; telephone;	телефон
n; garden;	сад
n; yard;	двор
n; needle;	игла
n; bag ;	сумка
n; box ;	коробка
n; gift;	подарок
n; card;	карта
n; ring;	кольцо
n; tool;	инструмент
n; clock   ;	часы
n; lamp	;лампа
n; fan	;вентилятор
n; cellular phone;	сотовый телефон, мобильный телефон, мобильник
n; phone   ;	телефон
n; network ;	сеть
n; computer;	компьютер
n; program ;		программа
n; laptop  ;	ноутбук, портативный компьютер, лаптоп
n; screen  ;	экран
n; camera  ;	фотоаппарат, фотокамера
n; video camera;	видеокамера
n; television;	телевидение
n; radio   ;	радио
n; head	;голова              ;BODY
n; neck	;шея                 ;BODY
n; face	;лицо                ;BODY
n; beard;	борода          ;BODY
n; hair	;волосы              ;BODY
n; eye	;глаз                ;BODY
