1.1.	enzimäine päivy pakkaskuudu

2.1.	kahteskymmenes päivy pakkaskuudu
2.1.	toine päivy pakkaskuudu

3.1.	kolmas päivy pakkaskuudu

4.1.	nelljäs päivy pakkaskuudu

5.1.	viijes päivy pakkaskuudu

6.1.	kuvves päivy pakkaskuudu

7.1.	seiččemäs päivy pakkaskuudu

8.1.	kaheksas päivy pakkaskuudu

9.1.	yheksäs päivy pakkaskuudu

10.1.	kymmenes päivy pakkaskuudu

11.1.	yhtestostu päivy pakkaskuudu

12.1.	kahtestostu päivy pakkaskuudu

13.1.	kolmastostu päivy pakkaskuudu

14.1.	nelljästostu päivy pakkaskuudu

15.1.	viijestostu päivy pakkaskuudu

16.1.	kuvvestostu päivy pakkaskuudu

17.1.	seiččemästostu päivy pakkaskuudu

18.1.	kaheksastostu päivy pakkaskuudu

19.1.	yheksästostu päivy pakkaskuudu

20.1.	20.1.	+?

21.1.	kahteskymmenesenzimäine päivy pakkaskuudu

22.1.	kahteskymmenestoine päivy pakkaskuudu

23.1.	kahteskymmeneskolmas päivy pakkaskuudu

24.1.	kahteskymmenesnelljäs päivy pakkaskuudu

25.1.	kahteskymmenesviijes päivy pakkaskuudu

26.1.	kahteskymmeneskuvves päivy pakkaskuudu

27.1.	kahteskymmenesseiččemäs päivy pakkaskuudu

28.1.	kahteskymmeneskaheksas päivy pakkaskuudu

29.1.	kahteskymmenesyheksäs päivy pakkaskuudu

30.1.	kolmaskymmenes päivy pakkaskuudu

31.1.	kolmaskymmenesenzimäine päivy pakkaskuudu

1.2.	enzimäine päivy tuhukuudu

2.2.	kahteskymmenes päivy tuhukuudu
2.2.	toine päivy tuhukuudu

3.2.	kolmas päivy tuhukuudu

4.2.	nelljäs päivy tuhukuudu

5.2.	viijes päivy tuhukuudu

6.2.	kuvves päivy tuhukuudu

7.2.	seiččemäs päivy tuhukuudu

8.2.	kaheksas päivy tuhukuudu

9.2.	yheksäs päivy tuhukuudu

10.2.	kymmenes päivy tuhukuudu

11.2.	yhtestostu päivy tuhukuudu

12.2.	kahtestostu päivy tuhukuudu

13.2.	kolmastostu päivy tuhukuudu

14.2.	nelljästostu päivy tuhukuudu

15.2.	viijestostu päivy tuhukuudu

16.2.	kuvvestostu päivy tuhukuudu

17.2.	seiččemästostu päivy tuhukuudu

18.2.	kaheksastostu päivy tuhukuudu

19.2.	yheksästostu päivy tuhukuudu

20.2.	20.2.	+?

21.2.	kahteskymmenesenzimäine päivy tuhukuudu

22.2.	kahteskymmenestoine päivy tuhukuudu

23.2.	kahteskymmeneskolmas päivy tuhukuudu

24.2.	kahteskymmenesnelljäs päivy tuhukuudu

25.2.	kahteskymmenesviijes päivy tuhukuudu

26.2.	kahteskymmeneskuvves päivy tuhukuudu

27.2.	kahteskymmenesseiččemäs päivy tuhukuudu

28.2.	kahteskymmeneskaheksas päivy tuhukuudu

29.2.	kahteskymmenesyheksäs päivy tuhukuudu

1.3.	enzimäine päivy kevätkuudu

2.3.	kahteskymmenes päivy kevätkuudu
2.3.	toine päivy kevätkuudu

3.3.	kolmas päivy kevätkuudu

4.3.	nelljäs päivy kevätkuudu

5.3.	viijes päivy kevätkuudu

6.3.	kuvves päivy kevätkuudu

7.3.	seiččemäs päivy kevätkuudu

8.3.	kaheksas päivy kevätkuudu

9.3.	yheksäs päivy kevätkuudu

10.3.	kymmenes päivy kevätkuudu

11.3.	yhtestostu päivy kevätkuudu

12.3.	kahtestostu päivy kevätkuudu

13.3.	kolmastostu päivy kevätkuudu

14.3.	nelljästostu päivy kevätkuudu

