aadtjegh	vastikään, vasta, juuri
aadtjen	vastikään
aagkele	pallea
aahka	mummo
aahketjeguaktah	hän ja isoäitinsä
aahkove	lapsenlapsi (isoäidille)
aahtjebe	heidän isänsä
aaj	myös
aajahtalledh	ajatella
aajhtsedh	huomata
aajja	isoisä
aajjetjeguaktah	hän ja isoisänsä
aajjove	lapsenlapsi (isoisälle)
aajkoehkadtjh	serkukset
aajkohke	serkku
aajmojne	jäljellä, tallella
aajmene	jäljellä, tallella
aajroe	airo
aaksjoe	kirves
aalkoe	alku
aalkove	alku
aalebovtse	teurasporo
aales	rauhallinen, pedoton
aaloe	(puun) mahla, (lihan, kalan) mehu
aalohke	kumisaapas
aaltoe	vaadin
aamhtse	asia, aihe
aamhte	asia, aihe
aamhtese	asia, aihe
aamhtsegïetedallije	virkailija
aanja	poron (etu)jalan jänne (josta punotaan suonilankaa)
aarh	varhainen
aareh	varhainen
aarehke	varhainen; varhain vasova poro
aarhskuvlelohkehtæjja	esikoulun opettaja
aarhtse	kotka
aate	tavara, esine
aatovmefaamoesijjie	ydinvoimala, atomivoimala
aatskadidh	pyrkiä, puuhata
aatsolen	ylle, yllä, yli
aavhtestidh	ammentaa, äyskäröidä
aavoe	ilo
aavone	iloissaan
aavrehke	onnekas
aavtjoe	(kirveen, veitsen) terä
abpe	koko(nainen)
abpelsijne	appelsiini
abpese	pusero, villapaita
aeblehts	laiska
aegkiedåvna	untuvatyyny
aegkiegaptjese	untuvapeite
aehtjaahka	isän äiti, mummo
aehtjaajja	isän isä, vaari
aehtjie	isä
aejkie	kerta; aika
aejlege	sunnuntai
aejlies	pyhä  
aejmie	äimä (kolmikulmainen neula nahan ompelemiseen)
aelhkie	helppo
aelkedh	alkaa
aellieh	älä
aelmies	maukas
ae nagkh	han, hän; siis
aerebi	ennen, ensin, aiemmin	
aerede	aamu, huomen
aeredsbeapmoe	aamiainen
aeriebistie	aikaisemmin, ennestään, edeltä
aerkies	arka, pelokas
aernie	tulisija
aerviedidh	arvata, arvella, olettaa
aevere	erityisemmin
aevlerge	kodan harjaorsi, keittoorsi
aevsie	poron otsaluu sarvineen
ahtjetje	vähäsen
ajve	vain
akte	yksi
aktine	yhdessä
almetje	ihminen
altese	hänen; heidän; nsa
alvas	kovin, kauhean
amhkedh	synkkä ja pilvinen sää
amma	toki; pas, päs
ammes	vieras, outo
annje	vielä
arhpedh	malttaa
arhpehtovvedh	kyllästyä, tulla kärsimättömäksi
aske	kuu, kuukausi
askedh	kuutamo, kuunloiste
assh dohkoe	hus pois (koiralle)
astedh	ehtiä
astoe	aika (johonkin)
asvedidh	pelätä, tuntea kauhua
asvedihks	pelottava, kauhea
baahkedidh	lämmittää
baahkes	lämmin
baahke	lämmin
baahketjaetsie	kuuma vesi
baahkoe	(tunturin, vuoren)rinne
baahtje	poika
baahtjetje	pikkupoika
baahtsedh	päästä (yli, läpi, irti)
baahtsege	eläimen sydän; puun käpy
baajedh	antaa, sallia
baajkoe	kova pakkanen
baajnedh	imeytyä 
baakoe	sana
baakohth	sanaton
baaktoe	kautta, ohitse
baalhka	palkka
baalka	polku
baalte	sivulla, vieressä; ohi
baarhkoe	puun kuori; parkki(liemi)
baarhkoegalte	kaarnapölkky (koivupölli, josta irrotetaan kaarnaa)
baarnetje	pikkupoika
badth	han, hän, toki
badtja	voide
bådtja	voide
badtjadidh	voidella
bådtjadidh	voidella
badtse	sulka
baejhtedh	ajaa, ohjata (poroja tiettyyn suuntaan)
baektjiedidh	särkeä, olla kipeä
baeledh	siivota, puhdistaa (lumesta tai vanhoista kotarisuista)
baenie	hammas
baeniesaehpie	hammasharja
baeniekreeme	hammastahna
baerehke	aurinkoinen rinne, auringonpuoli, auringonpaiste
baernie	poika
baetjkere	(hillan) raakile
baetsedh	jäädä
bahkasidh	katketa
bahte	takamus
bajsjeme	käytävä
balka	kenkäheinäpunos, jossa on useita sormauksia
baltehke	kummitus
balve	pilvi
bangseme	huuli
barhve	(poron) raato
barkedh	työskennellä
barkije	työntekijä
barkoe	työ
barkoes	työntäyteinen
barre	vain
beagkoes	tuulinen
bealese	puoleen, luo; lisäkkeeksi
bealesne	puolella, puolessa
bealloe	tiuku, kello
bealloeaaltoe	kellovaadin
beapmoe	ruoka
beapmoejurjiehtæjja	kokki, keittäjä
beapmoevoesse	eväspussi, ruokasäkki
bearjadahke	perjantai
bearjedsiehkede	perjantaiilta
bearkadidh	selvitä, selviytyä, pärjätä
bearkoe	liha
bearkoegaamsoe	lihapulla
bearkoejoptse	lihakeitto
bearkoekrovhte	lihapata
beavloes	lumeton
beelhte	vyö
beensine	bensiini 
beenghkedh	lyödä, hakata, koputtaa
beere	karhu	
beetnegh	raha(t)
beetnegadtje	vähän rahaa
bejsjeme	oviaukon molemmin puolin oleva tila kodassa
bajsjeme	oviaukon molemmin puolin oleva tila kodassa
bejsjememoerh	ovenpielipuut, permikkäpuut
belnie	mätäs, kumpare, kasa
berkiestidh	tupruta, savuta
bertedh	latoa, pinota
bestele	terävä
besteles	terävä
betnie	pohja
betniegierkie	pohjakivi
bïegke	tuuli
bïegketje	tuulenvire
biehkie	pala, kappale
bïejedh	panna
biejjegi	päivisin
biejjie	päivä
biejjiebaerehke	aurinkoinen rinne, auringonpuoli, auringonpaiste
biejjienbaerehke	aurinkoinen rinne, auringonpuoli, auringonpaiste
bïejkelidh	loukata, nyrjäyttää
bïejstenidh	turmeltua, mennä pilalle
bielie	puoli
bïeljelidh	mainita, ilmoittaa
bieljie	korva
bïenje	koira
bïerkenidh	selvitä, selviytyä, pärjätä
bïerne	karhu
biesie	pesä
biessie	tuohi
biestedh	päästää
biestielidh	menettää, päästää karkuun
bietsie	mänty, petäjä
bietskiedidh	leikata
bïevestohtedh	hikoilla, tulla hikiseksi
bïevestovvedh	hikoilla, tulla hikiseksi
bïevle	pälvi
bïevledh	pälviintyä, tulla lumettomaksi
bïevsterh	mieliala, tuuli
bigkedh	rakentaa
bihkedh	kerätä, poimia; nyhtää irti
bïhkedidh	neuvoa, ohjata
bijjede	ylhäältä
bijjelen	yli
bijjemes	ylin
bijjene	ylhäällä
bijjiebasse	ylemmäs
bijjierietjmie	verkon yläpaula	
bïjle	auto
bïjlebovre	autokauppa
bïjlevuejemelohkehtæjja	autokoulun opettaja
bïjre	ympäri
bijredh	silputa ja/tai paistaa lihaa
bïjredh	jyrsiä, järsiä
bïjre jarkan	ympäri(llä)
bïjvedh	tarjeta
bïjvele	lämmin (sää)
bïjvelåbboe	lämpimämpi
bïksedh	siepata, pyydystää
bïlledh	pelätä
bïllijidh	pelästyä
binhtedh	siivota, korjata jälkensä; korjata talteen
binte	kaulaliina
bïrhke	(pieni) porotokka
bïrhketje	pieni porotokka
bïrsje	(kalan) pyrstö (ja evät)
bissedh	paistaa
bïssedh	pestä
bïssedidh	peseytyä
bissemegietjie	paistotikku, varras
bissemesijjie	paistopaikka
bissemevuebnie	paistouuni
bist	taas, sitten, puolestaan
blomma	kukka(nen)
boehth	vastapäätä
boelhke	pätkä, pala, kappale, (ajan)jakso
boelhketje	(luku, näytös)kappale
boelte	lehtimetsä, koivua kasvava metsänrinne
boelnedh	kuihtua, kellastua
boelve	polvi
boelvedidh	polvistua
boelvhjöölki	polvillaan
boenge	povi
boengeskuvmie	naisen puvun rintalappu
boerehks	antelias
boetje	penis
boevedh	valvoa (ja pitää hauskaa)
bongke	rahapussi, kukkaro
bonhkehtalledh	töniä, työnnellä
bovre	kauppa	
bovtse	poro
bovtsebïenje	porokoira
bovvehtjidh	tappaa
brorke	pyy
buajtehke	lihava, rasvainen
buaranidh	parantua
buarastehtedh	tervehtiä, kätellä
buaredh	poutasää
buaregh	terve (käteltäessä)
buejtie	rasva
buektedh	tuoda
buektiehtidh	kyetä, saada aikaan
bueledh	palaa
buelielidh	palaa (nopeasti)
buerebe	parempi
buerie	hyvä
buerkiestidh	selittää, neuvoa
buertie	pöytä
bullere	pallero, pallo
burhvie	poronjäkälä
busse	bussi
buste	lusikka
buvrie	aitta, varasto
byjreske	ympäristö
byöpmedidh	syödä
byöpmedimmie	ruoka
byöpmetjh	vähän ruokaa
bægkah	(matka)tavarat
bæhta	pala, kappale
bæhtoe	astia, pönttö
bæjhpa	piippu
bæjhpoe	piippu
bæjjaldahke	yläpuoli, yläosa
bæjjesvåårti	ylöspäin, tunturiin, kevätmuuton suuntaan
bæjngoldsmåvhka	päällyshousut
bæjngoldsmåvhkah	päällyshousut
bæjngoldsvaarjoe	päällysvaate
bæjngolen	ulkopuolella, ulkopuolelle
bööredh	tarjota; kutsua
bööremes	paras
bööresovvedh	tulla kutsutuksi, saada kutsu
båadtsode	alasti, alaston
båanta	talonpoika, maanviljelijä
båarasåbpoe	vanhempi
båarasommes	vanhin
båassjoe	kodan takaosa, posio
båassjoeraejkie	kodan posioaukko
båatsoealmetje	poromies, poronhoitaja
båatsoeburrie	poromies
båatsoesaemie	porosaamelainen
båavjoeh	vaaleanharmaa (poro)
båeltielidh	polttaa
båeries	vanha
båetedh	tulla
båetije bearjadahken	ensi perjantaina
båetskie	kanta(pää)
bårras	hajallaan (oleva)
bårredh	syödä (eläin)
bårrestohtedh	tulla nälkäiseksi
båvne	mätäs, kumpare, harjanne
bååhkesjidh	leipoa
bååhperidh	ihmetellä, hämmästellä, päivitellä
bååktjehke	kipeä
bååstede	takaisin
bååstide	takaisin
daagkoe	täällä, tätä kautta
daajedidh	ymmärtää, käsittää
daajje	taikina
daajkoe	täällä(päin)
daajroes	tiettävästi, tietysti
daakteme	täysikasvuinen
daalhkesh	lääke, lääkkeet	
daamhtaj	usein, jatkuvasti
daamhtetje	usein, jatkuvasti
daanbiejjien	tänään
daanhtsodh	tanssia
daanhtsoestidh	tanssahtaa
daarhve	täplä; pilkka
daaroe	norjalainen, ruotsalainen; norjan, ruotsinkielinen
daaroestidh	puhua norjaa/ruotsia
daarpesjidh	tarvita
daase	tähän
daate	tämä
daatje	norjalainen, ruotsalainen
daatovre	tietokone
dabranadtedh	olla takertuneena kiinni
dabranidh	tarttua, jäädä kiinni
