 
assh dohkoe
biejjeste måbpan
buerie aerede
buerie biejjie
buerie iehkede
buerie jijje
bïegke raadtan
daan aereden
daan biejjien
daen biejjien
daen jijjen
dan man jïjnjem
dan mietie
dej taahki
dellie maajetjh
dohkh diekie
dom daam
don biejjien
duelie vuajnah
dusnie daesnie
gaajhkene laehkesne
gaajhkesh dovnesh
gellene lehkesne
gie dellie datne
gie joem
gudtsien prïhtjegen åvteste
guktie gåarede?
hijven hov
jaa hævvi
jaa nov maa
jakseme mieresne
jihteles måekie
jurjiehtamme beapmoeh
lusten gaavhtan
maam joem
madtan laakan
man båeries
man gaavhtan
man gellie
man guhkiem
man jïjnje
man jïjnjh
man stoerre
man åvteste
mij dellie
mij faatoes
mij vielie
måedtieh såarhth
naa guhkiem
naan aejkien
novh amma
novh gujht
novh hævvi
novh lea
novh maa
nåå buerie veasome hov
nåå nåå
nåå nåå dellie
ov jösses
saemesth amma
