aajra	aajroe åre
aaksja	aaksjoe øks
aalka	aalkoe begynnelse
aala	aaloe saft
aalta	aaltoe simle
aarehkeaalta	aarehkeaaltoe tidligfødende simle
aassja	aassjoe hat
aava	aavoe glede
aavtja	aavtjoe egg
aeredsbeapma	aeredsbeapmoe frokost
asta	astoe god tid
baahka	baahkoe fjellside
baajka	baajkoe sprengkulde
baaka	baakoe ord
baakoelåhka	baakoelåhkoe ordforråd
baakoelæsta	baakoelæstoe ordliste
baakoeraajra	baakoeraajroe rim og regler
baarhka	baarhkoe bark
baara	baaroe bølge
baartesvåhka	baartesvåhkoe barsok
barka	barkoe arbeid
bealla	bealloe bjelle
bealloeråantja	bealloeråantjoe bjelleokse
beapma	beapmoe mat
bearka	bearkoe kjøtt
bearkoegaamsa	bearkoegaamsoe kjøttkake
bijjiebaaka	bijjiebaakoe overskrift
båassja	båassjoe matplassen i gamma
båatsa	båatsoe rein
båska	båskoe busk
bæhta	bæhtoe bøtte
daabla	daabloe brettspill
daabloebaaka	daabloebaakoe spilleord
daajra	daajroe kunnskap
daara	daaroe nordmann
daata	daatoe dato
deajva	deajvoe osteform
deala	dealoe bordduk
eejhteghtjåanghka	eejhteghtjåanghkoe foreldremøte
faama	faamoe kraft
fealla	fealloe fjøl
fæjra	fæjroe fyrstikk
gaahka	gaahkoe brød
gaahta	gaahtoe katt
gaalla	gaalloe panne
gaala	gaaloe kaldvær
gaaloeværsja	gaaloeværsjoe kjølig regnvær
gaamsa	gaamsoe klubb
gaara	gaaroe opptenningsflis
gaarva	gaarvoe klesplagg
gaavma	gaavmoe hi
gaskevåhka	gaskevåhkoe onsdag
geahpa	geahpoe dyrelunge
geajna	geajnoe vei
gejhkiebearka	gejhkiebearkoe tørrkjøtt
giesiebarka	giesiebarkoe sommerjobb
goerehtallemebarka	goerehtallemebarkoe intervju
gueliefealla	gueliefealloe fiskefjøl
gueliegaahka	gueliegaahkoe fiskekake
gullieværja	gullieværjoe gullsmykke
gåalta	gåaltoe snøfokk
gåetiebarka	gåetiebarkoe husarbeid
gålka	gålkoe november
gåmpa	gåmpoe brunost
gåpta	gåptoe kofte
gæjhta	gæjhtoe takk
gærhka	gærhkoe kirke
gærhkoenbealla	gærhkoenbealloe kirkeklokke
gæsta	gæstoe kiste
gïeteværja	gïeteværjoe armbånd
haaska	haaskoe rusk
hahtja	hahtjoe hytte
håhka	håhkoe håp
hæhtja	hæhtjoe hytte
hælla	hælloe hylle
jalla	jalloe høyde
jeana	jeanoe stor elv
jovjeråtna	jovjeråtnoe lysgrå reinsimle
jåama	jåamoe fjellsyre
jåvlelaavla	jåvlelaavloe julesang
jïjjesnjågla	jïjjesnjågloe kattugle
kontovrebarka	kontovrebarkoe kontorarbeid
kråvna	kråvnoe brudekrone
laahka	laahkoe slektskapstittel
laavla	laavloe sang
leahka	leahkoe tverrfjøl
leaksa	leaksoe lekse
leavla	leavloe tyngde
lihtievåarhka	lihtievåarhkoe koppskap
lijhkiesjåarhta	lijhkiesjåarhtoe underskjorte
lijhkievaarja	lijhkievaarjoe undertøy
lijniegaalla	lijniegaalloe rein med hvitt hode
lopmefealla	lopmefealloe snowboard
låajta	låajtoe gammegulv
låhka	låhkoe leksjon
læhka	læhkoe lykke
læsta	læstoe koftebånd
maadta	maadtoe herkomst
maahta	maahtoe kunnskap
maajsa	maajsoe bør
maaksa	maaksoe betaling
maeliegaamsa	maeliegaamsoe blodklubb
meara	mearoe hav
måara	måaroe knokkel
naala	naaloe nål
njæssa	njæssoe halvvarmt solskinnsvær
nyöjhkemehaama	nyöjhkemehaamoe nektingsform
nårra	nårroe nøste
raajnevaarja	raajnevaarjoe renklær
raarhka	raarhkoe reinskilling
reajna	reajnoe tiden når det er rovdyr i flokken
reakta	reaktoe rett
rudtjemåara	rudtjemåaroe ryggbein
ruevtieraajra	ruevtieraajroe jernbane
råantja	råantjoe kastrert reinsbukk
råavka	råavkoe skinnfell
råhta	råhtoe granskog
råtna	råtnoe gjeldsimle
saaka	saakoe sag
seadta	seadtoe fred
seahka	seahkoe klov
seangka	seangkoe seng
sjåarhta	sjåarhtoe skjorte
sjædta	sjædtoe plante
skaavtja	skaavtjoe skjegg
slaahpa	slaahpoe ryggsene
snåvhta	snåvhtoe skohøybunt
staala	staaloe stallo
stoerregeajna	stoerregeajnoe stor vei
stråmhpa	stråmhpoe busk
ståapa	ståapoe hus
ståvra	ståvroe styre
svaalna	svaalnoe svalt vær
svaala	svaaloe kjølig vær
såafa	såafoe frodig område med løvtrær
såaja	såajoe vinge
såapa	såapoe såpe
sårka	sårkoe sorg
sæjra	sæjroe side
tjåanghka	tjåanghkoe møte
tråajja	tråajjoe trøye
træjpa	træjpoe stridt vær
tåaleskaahpa	tåaleskaahpoe syskrin
tæjma	tæjmoe time
vaajma	vaajmoe hjerte
vaarja	vaarjoe klesplagg
vaarjoevåarhka	vaarjoevåarhkoe klesskap
vaara	vaaroe vare
vaerieståapa	vaerieståapoe fjellstue
veaska	veaskoe veske
voejeskaahpa	voejeskaahpoe smøreske
våarhka	våarhkoe skap
våara	våaroe skift
våhka	våhkoe uke
væjja	væjjoe mønster
værta	værtoe storm
vætna	vætnoe arbeid
åadtjijebearka	åadtjijebearkoe beinfritt kjøtt
åavra	åavroe varme
åesiestimmielæsta	åesiestimmielæstoe handleliste
bealloeaalta	bealloeaaltoe bjøllesimle
bæjngoldsvaarja	bæjngoldsvaarjoe yttertøy
riepieråaksa	riepieråaksoe hunnrev
ålla	ålloe ull
tæhtja	tæhtjoe hustak
