1.1.	uđđâivemáánu vuossâmuš peeivi 

2.1.	uđđâivemáánu nubbe peeivi 

3.1.	uđđâivemáánu kuálmád peeivi 

4.1.	uđđâivemáánu niäljád peeivi 

5.1.	uđđâivemáánu viiđât peeivi 

6.1.	uđđâivemáánu kuuđâd peeivi 

7.1.	uđđâivemáánu čiččâd peeivi 

8.1.	uđđâivemáánu káávcád peeivi 

9.1.	uđđâivemáánu oovcád peeivi 

10.1.	uđđâivemáánu lovváád peeivi 

11.1.	uđđâivemáánu oktnubálovvááđ peeivi 

12.1.	uđđâivemáánu kyehtnubálovvááđ peeivi 

13.1.	uđđâivemáánu kulmânubálovvááđ peeivi 

14.1.	uđđâivemáánu neljinubálovvááđ peeivi 

15.1.	uđđâivemáánu vittnubálovvááđ peeivi 

16.1.	uđđâivemáánu kuttnubálovvááđ peeivi 

17.1.	uđđâivemáánu čiččâmnubálovvááđ peeivi 

18.1.	uđđâivemáánu käävcinubálovvááđ peeivi 

19.1.	uđđâivemáánu oovcenubálovvááđ peeivi 

20.1.	uđđâivemáánu kyehtnubálovváád peeivi 

21.1.	uđđâivemáánu kyehtnubálovváádvuossâmuš peeivi 

22.1.	uđđâivemáánu kyehtnubálovváádnubbe peeivi 

23.1.	uđđâivemáánu kyehtnubálovváádkuálmád peeivi 

24.1.	uđđâivemáánu kyehtnubálovváádniäljád peeivi 

25.1.	uđđâivemáánu kyehtnubálovváádviiđâd peeivi 

26.1.	uđđâivemáánu kyehtnubálovváádkuuđâd peeivi 

27.1.	uđđâivemáánu kyehtnubálovváádčiččâd peeivi 

28.1.	uđđâivemáánu kyehtnubálovváádkáávcád peeivi 

29.1.	uđđâivemáánu kyehtnubálovváádoovcád peeivi 

30.1.	uđđâivemáánu kulmâlovváád peeivi 

31.1.	uđđâivemáánu kulmâlovváádvuossâmuš peeivi 

1.2.	kuovâmáánu vuossâmuš peeivi 

2.2.	kuovâmáánu nubbe peeivi 

3.2.	kuovâmáánu kuálmád peeivi 

4.2.	kuovâmáánu niäljád peeivi 

5.2.	kuovâmáánu viiđât peeivi 

6.2.	kuovâmáánu kuuđâd peeivi 

7.2.	kuovâmáánu čiččâd peeivi 

8.2.	kuovâmáánu káávcád peeivi 

9.2.	kuovâmáánu oovcád peeivi 

10.2.	kuovâmáánu lovváád peeivi 

11.2.	kuovâmáánu oktnubálovvááđ peeivi 

12.2.	kuovâmáánu kyehtnubálovvááđ peeivi 

13.2.	kuovâmáánu kulmânubálovvááđ peeivi 

14.2.	kuovâmáánu neljinubálovvááđ peeivi 

15.2.	kuovâmáánu vittnubálovvááđ peeivi 

16.2.	kuovâmáánu kuttnubálovvááđ peeivi 

17.2.	kuovâmáánu čiččâmnubálovvááđ peeivi 

18.2.	kuovâmáánu käävcinubálovvááđ peeivi 

19.2.	kuovâmáánu oovcenubálovvááđ peeivi 

20.2.	kuovâmáánu kyehtnubálovváád peeivi 

21.2.	kuovâmáánu kyehtnubálovváádvuossâmuš peeivi 

22.2.	kuovâmáánu kyehtnubálovváádnubbe peeivi 

23.2.	kuovâmáánu kyehtnubálovváádkuálmád peeivi 

