1.1.	толшорлэн нырысетӥ нуналыз

2.1.	толшорлэн кыкетӥ нуналыз

3.1.	толшорлэн куинетӥ нуналыз

4.1.	толшорлэн ньылетӥ нуналыз

5.1.	толшорлэн витетэӥ нуналыз

6.1.	толшорлэн куатетэӥ нуналыз

7.1.	толшорлэн сизьыметэӥ нуналыз

8.1.	толшорлэн тямысэтӥ нуналыз

9.1.	толшорлэн укмысэтӥ нуналыз

10.1.	толшорлэн дасэтэӥ нуналыз

11.1.	толшорлэн дас одӥгетӥ нуналыз

12.1.	толшорлэн дас кыкетӥ нуналыз

13.1.	толшорлэн дас куинетӥ нуналыз

14.1.	толшорлэн дас ньылетӥ нуналыз

15.1.	толшорлэн дас витетӥ нуналыз

16.1.	толшорлэн дас куатетӥ нуналыз

17.1.	толшорлэн дас сизьыметӥ нуналыз

18.1.	толшорлэн дас тямысэтӥ нуналыз

19.1.	толшорлэн дас укмысэтӥ нуналыз

20.1.	толшорлэн кызетӥ нуналыз

21.1.	толшорлэн кызь одИгетӥ нуналыз

22.1.	толшорлэн кызь кыкетӥ нуналыз

23.1.	толшорлэн кызь куинетӥ нуналыз

24.1.	толшорлэн кызь ньылетӥ нуналыз

25.1.	толшорлэн кызь витетӥ нуналыз

26.1.	толшорлэн кызь куатетӥ нуналыз

27.1.	толшорлэн кызь сизьыметӥ нуналыз

28.1.	толшорлэн кызь тямысэтӥ нуналыз

29.1.	толшорлэн кызь укмысэтӥ нуналыз

30.1.	толшорлэн куамынетӥ нуналыз

31.1.	толшорлэн куамын одӥгетӥ нуналыз

1.2.	тулыспаллэн нырысетӥ нуналыз

2.2.	тулыспаллэн кыкетӥ нуналыз

3.2.	тулыспаллэн куинетӥ нуналыз

4.2.	тулыспаллэн ньылетӥ нуналыз

5.2.	тулыспаллэн витетэӥ нуналыз

6.2.	тулыспаллэн куатетэӥ нуналыз

7.2.	тулыспаллэн сизьыметэӥ нуналыз

