1.1.	лимбя ирийʼ нюртей яля

2.1.	лимбя ирийʼ нябимдей яля

3.1.	лимбя ирийʼ няхарамдэй яля

4.1.	лимбя ирийʼ тетимдей яля

5.1.	лимбя ирийʼ самлянзимдей яля

6.1.	лимбя ирийʼ матдомдэй яля

7.1.	лимбя ирийʼ сибимдей яля

8.1.	лимбя ирийʼ сиднтетимдей яля

9.1.	лимбя ирийʼ хасуюдимдей яля

10.1.	лимбя ирийʼ юдимдей яля

11.1.	лимбя ирийʼ нюртей яӈгня яля

12.1.	лимбя ирийʼ нябимдей яӈгня яля

13.1.	лимбя ирийʼ няхарамдэй яӈгня яля

14.1.	лимбя ирийʼ тетимдей яӈгня яля

15.1.	лимбя ирийʼ самлязимдей яӈгня яля

16.1.	лимбя ирийʼ маттамдэй яӈгня яля

17.1.	лимбя ирийʼ сиˮивумдей яӈгня яля

18.1.	лимбя ирийʼ сиднтетимдей яӈгня яля

19.1.	лимбя ирийʼ хасуюдимдей яӈгня яля

20.1.	лимбя ирийʼ сидя юдимдей яля

21.1.	лимбя ирийʼ сидя юˮ нюртей яля

22.1.	лимбя ирийʼ сидя юˮ нябимдей яля

23.1.	лимбя ирийʼ сидя юˮ няхарамдэй яля

24.1.	лимбя ирийʼ сидя юˮ тетимдей яля

25.1.	лимбя ирийʼ сидя юˮ самлязимдей яля

26.1.	лимбя ирийʼ сидя юˮ маттамдэй яля

27.1.	лимбя ирийʼ сидя юˮ сиˮивумдей яля

28.1.	лимбя ирийʼ сидя юˮ сиднтетимдей яля

29.1.	лимбя ирийʼ сидя юˮ хасуюдимдей яля

30.1.	лимбя ирийʼ няхарˮ юдимдей яля

31.1.	лимбя ирийʼ няхарˮ юˮ нюртей яля

1.2.	яра ирийʼ нюртей яля

2.2.	яра ирийʼ нябимдей яля

3.2.	яра ирийʼ няхарамдэй яля

4.2.	яра ирийʼ тетимдей яля

5.2.	яра ирийʼ самлянзимдей яля

6.2.	яра ирийʼ матдомдэй яля

7.2.	яра ирийʼ сибимдей яля

8.2.	яра ирийʼ сиднтетимдей яля

9.2.	яра ирийʼ хасуюдимдей яля

10.2.	яра ирийʼ юдимдей яля

11.2.	яра ирийʼ нюртей яӈгня яля

12.2.	яра ирийʼ нябимдей яӈгня яля

13.2.	яра ирийʼ няхарамдэй яӈгня яля

14.2.	яра ирийʼ тетимдей яӈгня яля

15.2.	яра ирийʼ самлязимдей яӈгня яля

16.2.	яра ирийʼ маттамдэй яӈгня яля

17.2.	яра ирийʼ сиˮивумдей яӈгня яля

18.2.	яра ирийʼ сиднтетимдей яӈгня яля

19.2.	яра ирийʼ хасуюдимдей яӈгня яля

20.2.	яра ирийʼ сидя юдимдей яля

21.2.	яра ирийʼ сидя юˮ нюртей яля

22.2.	яра ирийʼ сидя юˮ нябимдей яля

23.2.	яра ирийʼ сидя юˮ няхарамдэй яля

24.2.	яра ирийʼ сидя юˮ тетимдей яля

25.2.	яра ирийʼ сидя юˮ самлязимдей яля

26.2.	яра ирийʼ сидя юˮ маттамдэй яля

27.2.	яра ирийʼ сидя юˮ сиˮивумдей яля

28.2.	яра ирийʼ сидя юˮ сиднтетимдей яля

29.2.	яра ирийʼ сидя юˮ хасуюдимдей яля

1.3.	хэˮнё таларава ирийʼ нюртей яля

2.3.	хэˮнё таларава ирийʼ нябимдей яля

3.3.	хэˮнё таларава ирийʼ няхарамдэй яля

4.3.	хэˮнё таларава ирийʼ тетимдей яля

5.3.	хэˮнё таларава ирийʼ самлянзимдей яля

6.3.	хэˮнё таларава ирийʼ матдомдэй яля

7.3.	хэˮнё таларава ирийʼ сибимдей яля

8.3.	хэˮнё таларава ирийʼ сиднтетимдей яля

9.3.	хэˮнё таларава ирийʼ хасуюдимдей яля

10.3.	хэˮнё таларава ирийʼ юдимдей яля

11.3.	хэˮнё таларава ирийʼ нюртей яӈгня яля

