aeg|time|время|Zeit|aika|1
aga|but|а|aber|mutta|1
aga sinul?|and you?|а у тебя?|und du/dir?|entäs sinulle?|1
aitäh|thank you|спасибо|danke|kiitos|1
armastama|to love|любить|lieben|rakastaa|1
asuma|to be situated|находиться|sich befinden|sijaita|1
Eesti|Estonia|Эстония|Estland|Viro, Eesti|1
ei|no|нет|nein|ei|1
elama|to live|жить|leben|asua|1
harjutus|exercise|упражнение|Übung|harjoitus|1
hea|good|хороший|gut|hyvä|1
head aega!|goodbye!|до свидания!|auf Wiedersehen!|näkemiin!|1
head päeva!|have a good day!|всего доброго!|schönen Tag!|hyvää päivän jatkoa!|1
head õhtut!|have a good evening!|всего доброго!|guten Abend!|hyvää illan jatkoa!|1
head ööd!|good night!|спокойной ночи!|gute Nacht!|hyvää yötä!|1
hommik|morning|утро|Morgen|aamu|1
homseni|till tomorrow|до завтра!|bis morgen!|huomiseen|1
hästi|well|хорошо|gut|hyvin|1
Ida-Eesti|Eastern Estonia|Восточная Эстония|Ostestland|Itä Viro|1
ilus|beautiful|красивый|schön|kaunis|1
ja|and|и|und|ja, sekä|1
jaa|yes|да|ja|kyllä|1
jah|yes|да|ja|kyllä|1
jalg|foot, leg|нога|Fuß, Bein|jalka|1
järv|lake|озеро|See|järvi|1
ka|also|тоже, также, и|auch|myöskin|1
kaart|map, card|карта, открытка|Karte, Landkarte|kartta|1
Kas tõesti?|Really?|Неужели? Разве?|echt? wirklich?|Todellako?|1
kas?|question word, yes/no question word|ли|Fragewort, ja/nein Fragewort|-ko,-kö, joko|1
kes?|who?|кто?|wer?|kuka? ketkä?|1
Kuidas läheb?|How is it going? How are you?|Как дела? Как идут дела?|Wie geht’s?|Mitä kuuluu? Miten voit?|1
kus?|where?|где?|wo? worin?|missä?|1
kuu|moon, month|луна|Mond, Monat|kuukausi|1
kõrv|ear|ухо|Ohr|korva|1
käsi|hand|рука|Hand|käsi|1
lai|wide|широкий|breit|leveä, laaja|1
linn|town|город|Stadt|kaupunki|1
Lõuna-Eesti|Southern Estonia|Южная Эстония|Südestland|Etelä Viro|1
Lääne-Eesti|Western Estonia|Западная Эстония|Westestland|Länsi Viro|1
maa|country, land|страна, земля|Land|maa|1
maakond|county|уезд|Landkreis|maakunta|1
meie oleme|we are|мы (есть), мы|wir sind|me olemme|1
me oleme|we are|мы (есть), мы|wir sind|me olemme|1
mida|which|чтo|was|jota|1
mina olen|I am|я (есть), я|ich bin|minä olen|1
ma olen|I am|я (есть), я|ich bin|minä olen|1
minu nimi ei ole|my name is not|моё имя не|ich heiße nicht|minun nimeni ei ole|1
minu nimi on|my name is|меня зовут|ich heiße|minun nimeni on|1
mis?|what?|что?|was?|mikä|1
nagu|like|как, будто|wie|niinkuin|1
nemad on|they are|они (есть), они|sie sind|he ovat|1
nad on|they are|они (есть), они|sie sind|he ovat|1
nende nimi|their name|их имя|ihr Name|heidän nimi|1
nina|nose|нос|Nase|nenä|1
nimi|name|имя|Name|nimi|1
nägemist|see you|до свидания!|auf Wiedersehen!|näkemiin|1
nägemiseni|see you|до свидания!|auf Wiedersehen!|näkemiin|1
nägu|face|лицо|Gesicht|kasvot|1
näopilt|portrait|портрет|Porträt, Bildnis|potretti, kasvokuva|1
olema|to be|быть, находиться|sein (Verb), sein|olla|1
palun|please|пожалуйста|bitte, bitte schön|ole hyvä, olkaa hyvä|1
parem|right|правый|rechter|oikea|1
pea|head|голова|Kopf|pää|1
