aeg|S|time|время|Zeit|aika|1
aga|J|but|а|aber|mutta|1
aga sinul?|MWE|and you?|а у тебя?|und du/dir?|entäs sinulle?|1
aitäh|I|thank you|спасибо|danke|kiitos|1
armastama|V|to love|любить|lieben|rakastaa|1
asuma|V|to be situated|находиться|sich befinden|sijaita|1
Eesti|G|Estonia|Эстония|Estland|Viro, Eesti|1
Eesti|H|Estonia|Эстония|Estland|Viro, Eesti|1
ei|Adv|no|нет|nein|ei|1
elama|V|to live|жить|leben|asua|1
harjutus|S|exercise|упражнение|Übung|harjoitus|1
hea|A|good|хороший|gut|hyvä|1
head aega!|MWE|goodbye!|до свидания!|auf Wiedersehen!|näkemiin!|1
head päeva!|MWE|have a good day!|всего доброго!|schönen Tag!|hyvää päivän jatkoa!|1
head õhtut!|MWE|have a good evening!|всего доброго!|guten Abend!|hyvää illan jatkoa!|1
head ööd!|MWE|good night!|спокойной ночи!|gute Nacht!|hyvää yötä!|1
hommik|S|morning|утро|Morgen|aamu|1
homseni|Adv|till tomorrow|до завтра!|bis morgen!|huomiseen|1
hästi|Adv|well|хорошо|gut|hyvin|1
Ida-Eesti|H|Eastern Estonia|Восточная Эстония|Ostestland|Itä Viro|1
ilus|A|beautiful|красивый|schön|kaunis|1
ja|J|and|и|und|ja, sekä|1
jaa|I|yes|да|ja|kyllä|1
jah|I|yes|да|ja|kyllä|1
jah|Adv|yes|да|ja|kyllä|1
jalg|S|foot, leg|нога|Fuß, Bein|jalka|1
järv|S|lake|озеро|See|järvi|1
ka|Adv|also|тоже, также, и|auch|myöskin|1
kaart|S|map, card|карта, открытка|Karte, Landkarte|kartta|1
Kas tõesti?|MWE|Really?|Неужели? Разве?|echt? wirklich?|Todellako?|1
kas|Adv
kes|Pron
Kuidas läheb?|MWE
kus|Adv
kuu|S|moon, month|луна|Mond, Monat|kuukausi|1
kõrv|S|ear|ухо|Ohr|korva|1|BODYPART
käsi|S|hand|рука|Hand|käsi|1|BODYPART
lai|A|wide|широкий|breit|leveä, laaja|1
linn|S|town|город|Stadt|kaupunki|1
Lõuna-Eesti|H|Southern Estonia|Южная Эстония|Südestland|Etelä Viro|1
Lääne-Eesti|H|Western Estonia|Западная Эстония|Westestland|Länsi Viro|1
maa|S|country, land|страна, земля|Land|maa|1
maakond|S|county|уезд|Landkreis|maakunta|1
meie oleme|MWE|we are|мы (есть), мы|wir sind|me olemme|1
me oleme|MWE|we are|мы (есть), мы|wir sind|me olemme|1
mina olen|MWE|I am|я (есть), я|ich bin|minä olen|1
ma olen|MWE|I am|я (есть), я|ich bin|minä olen|1
minu nimi ei ole|MWE|my name is not|моё имя не|ich heiße nicht|minun nimeni ei ole|1
minu nimi on|MWE|my name is|меня зовут|ich heiße|minun nimeni on|1
mis|Pron
nagu|Adv|like|как, будто|wie|niinkuin|1
nemad on|MWE|they are|они (есть), они|sie sind|he ovat|1
