LEMMA __ POS __ TYPE __ NOB __ FIN __ ENG __ SEM __ BOOK
kainulainen __ N __ n42 __ kven __ kainulainen __ Kven __ PEOPLE __ MJ1 
aamu __ N __ n21 __ morgen __ aamu __ morning __ TIME __ MJ1 
adressi __ N __ n22odd __ adresse __ osoite __ address __ PEOPLE_ID __ MJ4 
aika __ N __ n21 __ tid __ aika __ time __ TIME __ MJ2 
anorakki __ N __ n22 __ anorakk __ anorakki __ anorak __ CLOTHING __ MJ8 
asfalttitie __ N __ n1 __ asfaltvei __ asfalttitie __ asfalt road __ ROAD __ MJ5 
assii __ N __ n23ii __ sak __ asia __ subject  __ ABSTRACT  __ MJ3 
aurinko __ N __ n22odd __ sol __ aurinko __ sun __ NATURE  __ MJ1 
dongerihousut __ N __ n21pl __ dongeribukser __ farkut __ jeans __ CLOTHING_PL __ MJ8 
faari __ N __ n21 __ far __ isä __ father __ FAMILY __ MJ5 
fiksuuni __ N __ n22odd __ fiksjon __ fiktio __ fiction __ TEXT __ MJ7 
filmi __ N __ n21 __ film __ elokuva __ film __ TEXT_OTHER __ MJ6 
flyyi __ N __ n21 __ fly __ lentokone __ air plane __ VEHICLE __ MJ7 
frisööri __ N __ n22odd __ frisør __ kampaaja __ hairdresser __ PROFESSION __ MJ7 
hamet __ N __ n33t __ skjørt __ hame __ skirt __ CLOTHING __ MJ8 
hamina __ N __ n22odd __ havn __ satama __ harbour __ NATURE_PLACE  __ MJ5 
histooria __ N __ n22oi __ historie __ historia __ history __ ABSTRACT __ MJ3 
hoppu __ N __ n21 __ hast, travelhet __ kiire __ hurry __ ABSTRACT __ MJ3 
housut __ N __ n21pl __ bukser __ housut __ trousers __ CLOTHING __ MJ8 
huonet __ N __ n33t __ hus __ talo __ house __ BUILDING __ MJ5 
hylly __ N __ n21 __ hylle __ hylly __ shelf __ ROOM_OTHER __ MJ8 
ihminen __ N __ n42 __ menneske __ ihminen __ human being __ PEOPLE __ MJ2 
ilta __ N __ n21 __ kveld __ ilta __ evening __ TIME __ MJ1 
ilma __ N __ n21 __ vær __ ilma __ weather __ WEATHER __ MJ1 
institutti __ N __ n22 __ institutt __ instituutti __ institute __ BUILDING,SCHOOL __ MJ3 
jakka __ N __ n21 __ jakke __ jakku __ jacket __ CLOTHING __ MJ8 
jalka __ N __ n21 __ fot __ jalka __ foot __ BODYPART __ MJ8 
jano __ N __ n21 __ tørst __ jano __ thirst __ FEELING __ MJ1 
joggekenkä __ N __ n21 __ joggesko __ lenkkikenkä __ sneaker __ CLOTHING __ MJ8 
joki __ N __ n21 __ elv __ joki __ river __ NATURE __ MJ5 
järvi __ N __ n21ie __ innsjø __ järvi __ lake __ NATURE __ MJ5 
kafea __ N __ n22oi __ kafé __ kahvila __ café __ BUILDING __ MJ1 
kaffi __ N __ n21 __ kaffe __ kahvi __ coffee __ DRINK __ MJ1 
kainu __ N __ n21 __ kvensk __ kveeni __ Kven language __ LANGUAGE __ MJ1 
kakko __ N __ n21 __ kake __ kakku __ cake __ FOOD_DISH __ MJ2 
kalavelli __ N __ n21 __ fiskesuppe __ kalakeitto __ fish soup __ FOOD_DISH __ MJ5 
kaupunki __ N __ n22odd __ by __ kaupunki __ city __ NATURE __ MJ8 
kaveri __ N __ n22odd __ kamerat __ kaveri __ friend __ FAMILY __ MJ4 
kello __ N __ n21 __ klokka __ kello __ clock __ TIME __ MJ4 
kenkä __ N __ n21 __ sko __ kenkä __ shoe __ CLOTHING __ MJ8 
kenttä __ N __ n21 __ gårdsplass, slette, eng __ piha, niitty __ yard,flatmark, meadow __ NATURE_PLACE __ MJ1 
keskipäivä __ N __ n21 __ middag, midt på dagen __ päivällinen, keskipäivä __ dinner __ FOOD_OTHER, TIME __ MJ7 
kesä __ N __ n21 __ sommer __ kesä __ summer __ TIME __ MJ5 
kieli __ N __ n31 __ språk, tunge __ kieli __ language, tongue __ LANGUAGE, BODYPART __ MJ1 
kino __ N __ n21 __ kino __ elokuvateatteri __ cinema __ BUILDING __ MJ6 
kinosali __ N __ n21 __ kinosal __ elokuvasali __ cinema auditorium __ ROOM __ MJ7 
kirja __ N __ n21 __ bok __ kirja __ book __ TEXT __ MJ1 
kirjailiija __ N __ n22oi __ forfatter __ kirjailija __ writer __ PROFESSION __ MJ1 
klasi __ N __ n21 __ vindu __ ikkuna __ window __ ROOM_PART __ MJ2 
kleninki __ N __ n22odd __ kjole __ leninki __ dress __ CLOTHING __ MJ8 
kortti __ N __ n21 __ kort __ kortti __ card __ THING __ MJ2 
kotohuonet __ N __ n33t __ hjemhus __ kotitalo __ house __ BUILDING __ MJ5 
kotokylä __ N __ n21 __ hjembygd __ kotikylä __ native district __ NATURE_PLACE __ MJ5 
kotopaikka __ N __ n21 __ hjemplass __ kotipaikka __ district of origin __ NATURE_PLACE __ MJ5 
kruunu __ N __ n21 __ krone __ kruunu __ crown __ FINANCE __ MJ2 
kulttuuri __ N __ n22odd __ kultur __ kulttuuri __ culture __ ABSTRACT __ MJ1 
kuningas __ N __ n33sodd __ konge __ kuningas __ king __ PROFESSION __ MJ7 
kuppi __ N __ n21 __ kopp __ kuppi __ cup __ KITCHEN, CONTAINER __ MJ8 
kylä __ N __ n21 __ bygd, grend, landsby __ kylä __ village __ NATURE_PLACE __ MJ5 
käsifuuni __ N __ n21 __ mobiltelefon __ kännykkä __ mobile phone __ THING __ MJ3 
laukku __ N __ n21 __ veske __ laukku __ bag __ CONTAINER __ MJ3 
