aiddo	just x
ain	enda
aivve	bare x
aktiivvalaččat	aktivt
albma	ordentlig x
almmá	uten x
aŋkke	likevel x
badjin	oppe x
badjálaga	oppå hverandre x
bajil	ovenpå
bajás	opp
beaivet	om dagen
beanta	ganske x
beare	bare
bearehaga	alt for
belohahkii	delvis x
boastut	galt x
botnjut	skeiv
buot	alt
bures	bra
dadjat	si
dakkaviđe	straks x
dakko	der
dal	nå
dalle	da
dallánaga	straks x
danin	derfor
dassá	til
dasto	deretter
datte	likevel x
dađistaga	etter hvert x
de	så
deike	hit
die	der
diehko	dit til dere
dieppe	der hos dere
dievva	full d3 x
diibmá	i fjor x
do	der borte
doarrás	på tvers x
dohko	dit
dolin	før i tiden x
doppe	der borte
duo	der (borte)
duohta	sannhet
duođaid	sannelig
dušše	bare
duššás	forgjeves x
dá	her
dákko	her
dál	nå
dálvet	om vinteren
dáppe	her
dás	her
dávjá	ofte x
eambbo	mer x
eanas	det meste
easkka	nettopp
erenoamáš	spesiell
erenoamážit	spesielt x
eret	bort
eske	i stad x
friddja	fri
fáhkka	plutselig x
fárus	med
gal	vel
galle	hvor mange
galmmas	kald
gaskal	mellom
gaskkas	mellom
gaskkas	einer
gaskkohagaid	av og til
gasku	midt (i
geasset	om sommeren
geassit	dra nota/ garnet
geassit	dra
gieskat	nylig x
gitta	fast
goas	når x
goasii	nesten x
gokko	hvor
gopmut	hvelvet
gos	hvor
gosa	hvor
guhkkin	langt borte
guhká	lenge x
guhkás	langt (bort) x
guktii	to ganger
gulul	rolig x
hirbmat	svært
hui	svært
hárve	sjelden x
ihkku	om natten
ihttin	i morgen
ikte	i går
illá	såvidt
ilá	altfor
jođánit	fort
juo	allerede
jur	just
juste	just
jámas	i hjel x
jámas	livløs
jávohaga	taust x
lahka	nær
liiggás	til overs
liikká	likevel x
loahpas	til slutt
lulde	langt sør x
lulás	mot sør
lávga	tettpakket
maid	også
maiddái	også
manin	hvorfor
manin	nyre
manne	hvorfor
masá	nesten
maŋos	bakover
maŋás	bakover
maŋážassii	endelig
maŋŋil	etter
maŋŋit	sent x
mealgat	nokså mye
measta	nesten
menddo	altfor x
miehtá	langs
mielde	med
mo	hvordan
máŋgii	mange ganger x
nai	også
namalassii	nemlig
nannosit	sterkt
nie	slik
njuolgga	rett x
nu	slik
nuppádassii	for det andre
nuvttá	gratis x
ná	slik
odne	i dag
oktan	sammen med
oktanaga	samtidig x
oktii	sammen
okto	alene
olggobealde	utenfor x
olggos	ut
olgun	ute
ollu	mye
olu	mye
olus	mange personer
oppa	hele
oppanassii	i hele tatt
ovdal	før
ovddas	for (giitu dan ovddas)
ovttas	sammen
rabas	åpen x
rastá	over
riekta	riktig
sahtedohko	tilfeldig x
sakka	meget
seamma	samme
seammá	samme
sierra	særskilt x
sierra	eksklusiv
sihke	både
sisa	inngang
sisa	inn
siskkáldas	det indre
siste	inne
sullii	omtrent
summal	på slump
suoli	i hemmelighet x
uhcán	lite x
unnán	lite x
veahá	litt x
vearrut	galt x
vel	enda
viehka	ganske
viidát	vidt
visot	alt x
vissa	kanskje
vulos	ned x
vuohččan	først
vuollin	nede x
vuollái	under
vuolás	ned x
vuos	først
vuosttažettiin	først x
vuostá	mot
vuostá	ost
vánit	knapt
várra	forsiktighet
várra	kanskje
várás	for
áibbas	ganske x
áiggil	i tide x
áigi	tid
áigá	for lenge siden
áinnas	gjerne
álggos	i begynnelsen x
álo	alltid x
árrat	tidlig x
čakčat	om høsten
čavga	stramt
čađa	gjennom
čađat	alltid
guoras	ved siden av

agibeaivái x
agálaččat x
aiddo x
ain
ainjuo
aivve
aktiivvalaččat
akto
albma
albmaládje x
albmaláhkai x
albmaláhkái x
almmatge
almmotge
almmá
aŋkke
badjelis
badjelmeare x
badjin
badjálaga x
bahábut
baicca
baicce
bajil
bajábeale
bajás
bajásguvlui
beaivet
beaivválaččat x
bealde
bealle
beanta 
beare
bearehaga x
belohahkii
birrajagi x
boaittobealde
boastut
botnjut
buohkanassii
buohtalaga
