mun+Pron+Pers+Sg1+Nom	mun

mun+Pron+Pers+Sg1+Gen	mu

mun+Pron+Pers+Sg1+Acc	mu

mun+Pron+Pers+Sg1+Ill	munnje

mun+Pron+Pers+Sg1+Loc	mus

mun+Pron+Pers+Sg1+Com	muinna

mun+Pron+Pers+Sg1+Ess	munin

don+Pron+Pers+Sg2+Nom	don

don+Pron+Pers+Sg2+Gen	du

don+Pron+Pers+Sg2+Acc	du

don+Pron+Pers+Sg2+Ill	dutnje

don+Pron+Pers+Sg2+Loc	dus

don+Pron+Pers+Sg2+Com	duinna

don+Pron+Pers+Sg2+Ess	dunin

son+Pron+Pers+Sg3+Nom	son

son+Pron+Pers+Sg3+Gen	su

son+Pron+Pers+Sg3+Acc	su

son+Pron+Pers+Sg3+Ill	sutnje

son+Pron+Pers+Sg3+Loc	sus

son+Pron+Pers+Sg3+Com	suinna

son+Pron+Pers+Sg3+Ess	sunin

mun+Pron+Pers+Du1+Nom	moai

mun+Pron+Pers+Du1+Gen	munno

mun+Pron+Pers+Du1+Acc	munno

mun+Pron+Pers+Du1+Ill	munnuide

mun+Pron+Pers+Du1+Loc	munnos

mun+Pron+Pers+Du1+Com	munnuin

mun+Pron+Pers+Du1+Ess	munnon

don+Pron+Pers+Du2+Nom	doai

don+Pron+Pers+Du2+Gen	dudno

don+Pron+Pers+Du2+Acc	dudno

don+Pron+Pers+Du2+Ill	dudnuide

don+Pron+Pers+Du2+Loc	dudnos

don+Pron+Pers+Du2+Com	dudnuin

don+Pron+Pers+Du2+Ess	dudnon

son+Pron+Pers+Du3+Nom	soai

son+Pron+Pers+Du3+Gen	sudno

son+Pron+Pers+Du3+Acc	sudno

son+Pron+Pers+Du3+Ill	sudnuide

son+Pron+Pers+Du3+Loc	sudnos

son+Pron+Pers+Du3+Com	sudnuin

son+Pron+Pers+Du3+Ess	sudnon

mun+Pron+Pers+Pl1+Nom	mii

mun+Pron+Pers+Pl1+Gen	min

mun+Pron+Pers+Pl1+Acc	min

mun+Pron+Pers+Pl1+Ill	midjiide

mun+Pron+Pers+Pl1+Loc	mis

mun+Pron+Pers+Pl1+Com	minguin

mun+Pron+Pers+Pl1+Ess	minin

don+Pron+Pers+Pl2+Nom	dii

don+Pron+Pers+Pl2+Gen	din

don+Pron+Pers+Pl2+Acc	din

don+Pron+Pers+Pl2+Ill	didjiide

don+Pron+Pers+Pl2+Loc	dis

don+Pron+Pers+Pl2+Com	dinguin

don+Pron+Pers+Pl2+Ess	dinin

son+Pron+Pers+Pl3+Nom	sii

son+Pron+Pers+Pl3+Gen	sin

son+Pron+Pers+Pl3+Acc	sin

son+Pron+Pers+Pl3+Ill	sidjiide

son+Pron+Pers+Pl3+Loc	sis

son+Pron+Pers+Pl3+Com	singuin

son+Pron+Pers+Pl3+Ess	sinin

ieš+Pron+Refl+Sg+Nom	ieš

ieš+Pron+Refl+Pl+Nom	ieža

ieš+Pron+Refl+Gen+PxSg1	iežan

ieš+Pron+Refl+Acc+PxSg1	iežan

ieš+Pron+Refl+Ill+PxSg1	alccesan

ieš+Pron+Refl+Loc+PxSg1	alddán

ieš+Pron+Refl+Com+PxSg1	iežainan

ieš+Pron+Refl+Ess+PxSg1	iehčanan

ieš+Pron+Refl+Gen+PxSg2	iežat

ieš+Pron+Refl+Acc+PxSg2	iežat

ieš+Pron+Refl+Ill+PxSg2	alccesat

ieš+Pron+Refl+Loc+PxSg2	alddát

ieš+Pron+Refl+Com+PxSg2	iežainat

ieš+Pron+Refl+Ess+PxSg2	iehčanat

ieš+Pron+Refl+Gen+PxSg3	iežas

ieš+Pron+Refl+Acc+PxSg3	iežas

ieš+Pron+Refl+Ill+PxSg3	alccesis

ieš+Pron+Refl+Loc+PxSg3	alddis

ieš+Pron+Refl+Com+PxSg3	iežainis

ieš+Pron+Refl+Ess+PxSg3	iehčanis

ieš+Pron+Refl+Gen+PxDu1	iežame

ieš+Pron+Refl+Acc+PxDu1	iežame

ieš+Pron+Refl+Ill+PxDu1	alcceseame

ieš+Pron+Refl+Loc+PxDu1	alddáme

ieš+Pron+Refl+Com+PxDu1	iežaineame

ieš+Pron+Refl+Ess+PxDu1	iehčaneame

ieš+Pron+Refl+Gen+PxDu2	iežade

ieš+Pron+Refl+Acc+PxDu2	iežade

ieš+Pron+Refl+Ill+PxDu2	alcceseatte

ieš+Pron+Refl+Loc+PxDu2	alddáde

ieš+Pron+Refl+Com+PxDu2	iežaineatte

ieš+Pron+Refl+Ess+PxDu2	iehčaneatte

ieš+Pron+Refl+Gen+PxDu3	iežaska

ieš+Pron+Refl+Acc+PxDu3	iežaska

ieš+Pron+Refl+Ill+PxDu3	alcceseaskka

ieš+Pron+Refl+Loc+PxDu3	alddiska

ieš+Pron+Refl+Com+PxDu3	iežaineaskka

ieš+Pron+Refl+Ess+PxDu3	iehčaneaskka

ieš+Pron+Refl+Gen+PxPl1	iežamet

ieš+Pron+Refl+Acc+PxPl1	iežamet

ieš+Pron+Refl+Ill+PxPl1	alcceseamet

ieš+Pron+Refl+Loc+PxPl1	alddámet

ieš+Pron+Refl+Com+PxPl1	iežaineamet

ieš+Pron+Refl+Ess+PxPl1	iehčaneamet

ieš+Pron+Refl+Gen+PxPl2	iežadet

ieš+Pron+Refl+Acc+PxPl2	iežadet

ieš+Pron+Refl+Ill+PxPl2	alcceseattet

ieš+Pron+Refl+Loc+PxPl2	alddádet

ieš+Pron+Refl+Com+PxPl2	iežaineattet

ieš+Pron+Refl+Ess+PxPl2	iehčaneattet

ieš+Pron+Refl+Gen+PxPl3	iežaset

ieš+Pron+Refl+Acc+PxPl3	iežaset

ieš+Pron+Refl+Ill+PxPl3	alcceseaset

ieš+Pron+Refl+Loc+PxPl3	alddiset

ieš+Pron+Refl+Com+PxPl3	iežaineaset

ieš+Pron+Refl+Ess+PxPl3	iehčaneaset

dát+Pron+Dem+Sg+Nom	dát

dát+Pron+Dem+Sg+Acc	dán

dát+Pron+Dem+Sg+Gen	dán

dát+Pron+Dem+Sg+Ill	dása

dát+Pron+Dem+Sg+Loc	dás

dát+Pron+Dem+Sg+Com	dáinna

dát+Pron+Dem+Pl+Nom	dát

dát+Pron+Dem+Pl+Acc	dáid

dát+Pron+Dem+Pl+Gen	dáid

dát+Pron+Dem+Pl+Ill	dáidda

dát+Pron+Dem+Pl+Loc	dáin

dát+Pron+Dem+Pl+Com	dáiguin

dát+Pron+Dem+Ess	dánin

diet+Pron+Dem+Sg+Nom	diet

diet+Pron+Dem+Sg+Acc	dien

diet+Pron+Dem+Sg+Gen	dien

diet+Pron+Dem+Sg+Ill	diesa

diet+Pron+Dem+Sg+Loc	dies

diet+Pron+Dem+Sg+Com	dieinna

diet+Pron+Dem+Pl+Nom	diet

diet+Pron+Dem+Pl+Acc	dieid

diet+Pron+Dem+Pl+Gen	dieid

diet+Pron+Dem+Pl+Ill	dieidda

diet+Pron+Dem+Pl+Loc	diein

diet+Pron+Dem+Pl+Com	dieiguin

diet+Pron+Dem+Ess	dienin

duot+Pron+Dem+Sg+Nom	duot

duot+Pron+Dem+Sg+Acc	duon

duot+Pron+Dem+Sg+Gen	duon

duot+Pron+Dem+Sg+Ill	duosa

duot+Pron+Dem+Sg+Loc	duos

duot+Pron+Dem+Sg+Com	duoinna

duot+Pron+Dem+Pl+Nom	duot

duot+Pron+Dem+Pl+Acc	duoid

duot+Pron+Dem+Pl+Gen	duoid

duot+Pron+Dem+Pl+Ill	duoidda

duot+Pron+Dem+Pl+Loc	duoin

duot+Pron+Dem+Pl+Com	duoiguin

duot+Pron+Dem+Ess	duonin

dot+Pron+Dem+Sg+Nom	dot

dot+Pron+Dem+Sg+Acc	don

dot+Pron+Dem+Sg+Gen	don

dot+Pron+Dem+Sg+Ill	dosa

dot+Pron+Dem+Sg+Loc	dos

dot+Pron+Dem+Sg+Com	doinna

dot+Pron+Dem+Pl+Nom	dot

dot+Pron+Dem+Pl+Acc	doid

dot+Pron+Dem+Pl+Gen	doid

dot+Pron+Dem+Pl+Ill	doidda

dot+Pron+Dem+Pl+Loc	doin

dot+Pron+Dem+Pl+Com	doiguin

dot+Pron+Dem+Ess	donin

guoibmi+Pron+Recipr+Sg+Gen+PxDu1	guoibmáme

guoibmi+Pron+Recipr+Sg+Gen+PxDu2	guoimmáde

guoibmi+Pron+Recipr+Sg+Gen+PxDu3	guoimmiska

guoibmi+Pron+Recipr+Sg+Gen+PxPl1	guoibmámet

guoibmi+Pron+Recipr+Sg+Gen+PxPl2	guoimmádet

guoibmi+Pron+Recipr+Sg+Gen+PxPl3	guoimmiset

guoibmi+Pron+Recipr+Sg+Acc+PxDu1	guoibmáme

guoibmi+Pron+Recipr+Sg+Acc+PxDu2	guoimmáde

guoibmi+Pron+Recipr+Sg+Acc+PxDu3	guoimmiska

guoibmi+Pron+Recipr+Sg+Acc+PxPl1	guoibmámet

guoibmi+Pron+Recipr+Sg+Acc+PxPl2	guoimmádet

guoibmi+Pron+Recipr+Sg+Acc+PxPl3	guoimmiset

guoibmi+Pron+Recipr+Sg+Ill+PxDu1	guoibmáseame

guoibmi+Pron+Recipr+Sg+Ill+PxDu2	guoibmáseatte

guoibmi+Pron+Recipr+Sg+Ill+PxDu3	guoibmáseaskka

guoibmi+Pron+Recipr+Sg+Ill+PxPl1	guoibmáseamet

guoibmi+Pron+Recipr+Sg+Ill+PxPl2	guoibmáseattet

guoibmi+Pron+Recipr+Sg+Ill+PxPl3	guoibmáseaset

guoibmi+Pron+Recipr+Sg+Loc+PxDu1	guoimmisteame

guoibmi+Pron+Recipr+Sg+Loc+PxDu2	guoimmisteatte

guoibmi+Pron+Recipr+Sg+Loc+PxDu3	guoimmisteaskka

guoibmi+Pron+Recipr+Sg+Loc+PxPl1	guoimmisteamet

guoibmi+Pron+Recipr+Sg+Loc+PxPl2	guoimmisteattet

guoibmi+Pron+Recipr+Sg+Loc+PxPl3	guoimmisteaset

guoibmi+Pron+Recipr+Sg+Com+PxDu1	guimmiineame

guoibmi+Pron+Recipr+Sg+Com+PxDu2	guimmiineatte

guoibmi+Pron+Recipr+Sg+Com+PxDu3	guimmiineaskka

guoibmi+Pron+Recipr+Sg+Com+PxPl1	guimmiineamet

guoibmi+Pron+Recipr+Sg+Com+PxPl2	guimmiineattet

guoibmi+Pron+Recipr+Sg+Com+PxPl3	guimmiineaset

guoibmi+Pron+Recipr+Pl+Gen+PxDu1	guimmiideame

guoibmi+Pron+Recipr+Pl+Gen+PxDu2	guimmiideatte

guoibmi+Pron+Recipr+Pl+Gen+PxDu3	guimmiideaskka

guoibmi+Pron+Recipr+Pl+Gen+PxPl1	guimmiideamet

guoibmi+Pron+Recipr+Pl+Gen+PxPl2	guimmiideattet

guoibmi+Pron+Recipr+Pl+Gen+PxPl3	guimmiideaset

guoibmi+Pron+Recipr+Pl+Acc+PxDu1	guimmiideame

guoibmi+Pron+Recipr+Pl+Acc+PxDu2	guimmiideatte

guoibmi+Pron+Recipr+Pl+Acc+PxDu3	guimmiideaskka

guoibmi+Pron+Recipr+Pl+Acc+PxPl1	guimmiideamet

guoibmi+Pron+Recipr+Pl+Acc+PxPl2	guimmiideattet

guoibmi+Pron+Recipr+Pl+Acc+PxPl3	guimmiideaset

guoibmi+Pron+Recipr+Pl+Ill+PxDu1	guimmiidasame

guoibmi+Pron+Recipr+Pl+Ill+PxDu2	guimmiidasade

guoibmi+Pron+Recipr+Pl+Ill+PxDu3	guimmiidasaska

guoibmi+Pron+Recipr+Pl+Ill+PxPl1	guimmiidasamet

guoibmi+Pron+Recipr+Pl+Ill+PxPl2	guimmiidasadet

guoibmi+Pron+Recipr+Pl+Ill+PxPl3	guimmiidasaset

guoibmi+Pron+Recipr+Pl+Loc+PxDu1	guimmiineame

guoibmi+Pron+Recipr+Pl+Loc+PxDu2	guimmiineatte

guoibmi+Pron+Recipr+Pl+Loc+PxDu3	guimmiineaskka

guoibmi+Pron+Recipr+Pl+Loc+PxPl1	guimmiineamet

guoibmi+Pron+Recipr+Pl+Loc+PxPl2	guimmiineattet

guoibmi+Pron+Recipr+Pl+Loc+PxPl3	guimmiineaset

guoibmi+Pron+Recipr+Pl+Com+PxDu1	guimmiideameguin

guoibmi+Pron+Recipr+Pl+Com+PxDu2	guimmiideadeguin

guoibmi+Pron+Recipr+Pl+Com+PxDu3	guimmiideaskkaguin

guoibmi+Pron+Recipr+Pl+Com+PxPl1	guimmiideametguin

guoibmi+Pron+Recipr+Pl+Com+PxPl2	guimmiideadetguin

guoibmi+Pron+Recipr+Pl+Com+PxPl3	guimmiideasetguin

mun+Pron+Pers+Sg1+Nom+Use/NG	mon

ieš+Pron+Refl+Gen+PxSg1+Use/NG	iehčan

ieš+Pron+Refl+Acc+PxSg1+Use/NG	iehčan

ieš+Pron+Refl+Gen+PxSg1+Use/NG	iehčan

ieš+Pron+Refl+Acc+PxSg1+Use/NG	iehčan

ieš+Pron+Refl+Ill+PxSg1+Use/NG	allasan
ieš+Pron+Refl+Ill+PxSg1+Use/NG	alccan
ieš+Pron+Refl+Ill+PxSg1+Use/NG	alccen

ieš+Pron+Refl+Ill+PxSg1+Use/NG	allasan
ieš+Pron+Refl+Ill+PxSg1+Use/NG	alccan
ieš+Pron+Refl+Ill+PxSg1+Use/NG	alccen

ieš+Pron+Refl+Ill+PxSg1+Use/NG	allasan
ieš+Pron+Refl+Ill+PxSg1+Use/NG	alccan
ieš+Pron+Refl+Ill+PxSg1+Use/NG	alccen

ieš+Pron+Refl+Loc+PxSg1+Use/NG	alddestan

ieš+Pron+Refl+Ill+PxSg2+Use/NG	allasat
ieš+Pron+Refl+Ill+PxSg2+Use/NG	alccat
ieš+Pron+Refl+Ill+PxSg2+Use/NG	alccet

ieš+Pron+Refl+Ill+PxSg2+Use/NG	allasat
ieš+Pron+Refl+Ill+PxSg2+Use/NG	alccat
ieš+Pron+Refl+Ill+PxSg2+Use/NG	alccet

ieš+Pron+Refl+Ill+PxSg2+Use/NG	allasat
ieš+Pron+Refl+Ill+PxSg2+Use/NG	alccat
ieš+Pron+Refl+Ill+PxSg2+Use/NG	alccet

ieš+Pron+Refl+Loc+PxSg2+Use/NG	alddestat

ieš+Pron+Refl+Ill+PxSg3+Use/NG	allasis
ieš+Pron+Refl+Ill+PxSg3+Use/NG	alccis
ieš+Pron+Refl+Ill+PxSg3+Use/NG	alcces

ieš+Pron+Refl+Ill+PxSg3+Use/NG	allasis
ieš+Pron+Refl+Ill+PxSg3+Use/NG	alccis
ieš+Pron+Refl+Ill+PxSg3+Use/NG	alcces

ieš+Pron+Refl+Ill+PxSg3+Use/NG	allasis
ieš+Pron+Refl+Ill+PxSg3+Use/NG	alccis
ieš+Pron+Refl+Ill+PxSg3+Use/NG	alcces

ieš+Pron+Refl+Loc+PxSg3+Use/NG	alddes
ieš+Pron+Refl+Loc+PxSg3+Use/NG	alddestis

ieš+Pron+Refl+Loc+PxSg3+Use/NG	alddes
ieš+Pron+Refl+Loc+PxSg3+Use/NG	alddestis

ieš+Pron+Refl+Gen+PxDu1+Use/NG	iehčame
ieš+Pron+Refl+Gen+PxDu1+Use/NG	iežaideame

ieš+Pron+Refl+Acc+PxDu1+Use/NG	iehčame
ieš+Pron+Refl+Acc+PxDu1+Use/NG	iežaideame

ieš+Pron+Refl+Gen+PxDu1+Use/NG	iehčame
ieš+Pron+Refl+Gen+PxDu1+Use/NG	iežaideame

ieš+Pron+Refl+Acc+PxDu1+Use/NG	iehčame
ieš+Pron+Refl+Acc+PxDu1+Use/NG	iežaideame

ieš+Pron+Refl+Gen+PxDu1+Use/NG	iehčame
ieš+Pron+Refl+Gen+PxDu1+Use/NG	iežaideame

ieš+Pron+Refl+Acc+PxDu1+Use/NG	iehčame
ieš+Pron+Refl+Acc+PxDu1+Use/NG	iežaideame

ieš+Pron+Refl+Gen+PxDu1+Use/NG	iehčame
ieš+Pron+Refl+Gen+PxDu1+Use/NG	iežaideame

ieš+Pron+Refl+Acc+PxDu1+Use/NG	iehčame
ieš+Pron+Refl+Acc+PxDu1+Use/NG	iežaideame

ieš+Pron+Refl+Ill+PxDu1+Use/NG	allaseame
ieš+Pron+Refl+Ill+PxDu1+Use/NG	alccame
ieš+Pron+Refl+Ill+PxDu1+Use/NG	alcceme

ieš+Pron+Refl+Ill+PxDu1+Use/NG	allaseame
ieš+Pron+Refl+Ill+PxDu1+Use/NG	alccame
ieš+Pron+Refl+Ill+PxDu1+Use/NG	alcceme

ieš+Pron+Refl+Ill+PxDu1+Use/NG	allaseame
ieš+Pron+Refl+Ill+PxDu1+Use/NG	alccame
ieš+Pron+Refl+Ill+PxDu1+Use/NG	alcceme

ieš+Pron+Refl+Loc+PxDu1+Use/NG	alddesteame
ieš+Pron+Refl+Loc+PxDu1+Use/NG	alddáneame
ieš+Pron+Refl+Loc+PxDu1+Use/NG	alddiineame

ieš+Pron+Refl+Loc+PxDu1+Use/NG	alddesteame
ieš+Pron+Refl+Loc+PxDu1+Use/NG	alddáneame
ieš+Pron+Refl+Loc+PxDu1+Use/NG	alddiineame

ieš+Pron+Refl+Loc+PxDu1+Use/NG	alddesteame
ieš+Pron+Refl+Loc+PxDu1+Use/NG	alddáneame
ieš+Pron+Refl+Loc+PxDu1+Use/NG	alddiineame

