ruslemma;ruslemma stressed;PoS;ZaliznjakCode;Book;Lesson;EnglishGloss;DanishGloss;NorwegianGloss;SemanticSet;AspectPartner;MotionPartner
а;а;;;MiP;B2;and;og, men;og, men;;;
автобус;авто́бус;;;MiP;B9;bus;bus;buss;;;
автомат;автома́т;;;MiP;L2;automated device;automat;automat;;;
автомобиль;автомоби́ль;;;MiP;L7;car;bil;bil;;;
автомобильный;автомоби́льный;;;MiP;L7;automotive;bilrelatered;bilrelatert;;;
ага;ага́;;;MiP;L6;aha;aha;aha;;;
агенство;аге́нство;;;MiP;L14;agency;bureau;byrå;;;
администратор;администра́тор;;;MiP;L7;administrator;administrator, inspektør;administrator, inspektør;;;
алло;алло́;;;MiP;L6;hello;hallo;hallo;;;
альбом;альбо́м;;;MiP;L14;album;album;album;;;
американский;америка́нский;;;MiP;L1;American;amerikansk;amerikansk;;;
английский;англи́йский;;;MiP;B9;English;engelsk;engelsk;;;
апельсин;апельси́н;;;MiP;B6;orange;appelsin;appelsin;;;
апельсиновый;апельси́новый;;;MiP;L3;orange;appelsinrelatered;appelsinrelatert;;;
аппетит;аппети́т;;;MiP;L2;appetite;appetit;appetitt;;;
апрель;апре́ль;;;MiP;L19;April;april;april;;;
арбуз;арбу́з;;;MiP;L2;watermelon;vandmelon;vannmelon;;;
аэропорт;аэропо́рт;;;MiP;L20;airport;lufthavn;flyplass;;;
бабушка;ба́бушка;;;MiP;B5;grandmother;bedstemor;bestemor;;;
багаж;бага́ж;;;MiP;L18;baggage;bagage;bagasje;;;
бадминтон;бадминто́н;;;MiP;L1;badminton;badminton;badminton;;;
балкон;балко́н;;;MiP;L15;balcony;altan;balkong;;;
банан;бана́н;;;MiP;B6;banana;banan;banan;;;
банда;ба́нда;;;MiP;L12;gang;bande;bande;;;
банк;банк;;;MiP;B1;bank;bank;bank;;;
баня;ба́ня;;;MiP;L9;sauna;badstue;badstue;;;
бар;бар;;;MiP;L4;bar;bar;bar;;;
батон;бато́н;;;MiP;L8;baguette;franskbrød;franskbrød;;;
без;без;;;MiP;L12;without;uden;uten;;;
белый;бе́лый;;;MiP;B8;white;hvid;hvit;;;
бизнесмен;бизнесме́н;;;MiP;B6;businessman;forretningsmand;forretningsmann;;;
билет;биле́т;;;MiP;L6;ticket;billet;billett;;;
бистро;бистро́;;;MiP;B8;bistro;bistro;bistro;;;
бифштекс;бифште́кс;;;MiP;B9;steak;bøf;biff;;;
блин;блин;;;MiP;B9;pancake;pandekage;pannekake;;;
блокада;блока́да;;;MiP;L16;blockade;belejring, blokade;beleiring, blokade;;;
бог;бог;;;MiP;L12;god;gud;gud;;;
богатый;бога́тый;;;MiP;L12;rich;rig;rik;;;
боевик;боеви́к;;;MiP;L6;action film;actionfilm;aktionfilm;;;
бокал;бока́л;;;MiP;;wine glass;vinglas;vinglass;;;
болен;бо́лен;;;MiP;L5;sick;syg;syk;;;
болеть;боле́ть;;;MiP;L12;hurt;gøre ondt;gjøre vondt;;;
больше;бо́льше;;;MiP;L4;more;mere;mer;;;
большой;большо́й;;;MiP;B8;big;stor;stor;;;
борщ;борщ;;;MiP;B7;borsch;borsch;borsj;;;
брат;брат;;;MiP;B4;brother;bror;bror;;;
брать;брать;;;MiP;L8;take;tage, låne;ta, låne;;взять;
букет;буке́т;;;MiP;L19;bouquet;buket;bukett;;;
булочка;бу́лочка;;;MiP;L8;bun;bolle;bolle;;;
бутерброд;бутербро́д;;;MiP;L5;sandwich;smørrebrød;smørbrød;;;
бутылка;буты́лка;;;MiP;L7;bottle;flaske;flaske;;;
бывать;быва́ть;;;MiP;L8;be often;være flere gange;være flere ganger;;;
быстрее;быстре́е;;;MiP;L20;faster;hurtigere;hurtigere, raskere;;;
быстро;бы́стро;;;MiP;L15;fast, quickly;hurtigt;hurtig, raskt;;;
быть;быть;;;MiP;L6;be;være;være;;;
бюро;бюро́;;;MiP;B6;office;kontor;kontor;;;
в;в;;;MiP;B2;in, into;i;i;;;
вагон;ваго́н;;;MiP;;wagon, car;togvogn;togvogn;;;
ваза;ва́за;;;MiP;B6;vase;vase;vase;;;
ванная;ва́нная;;;MiP;L10;bathroom;badeværelse;badeværelse;;;
ваш;ваш;;;MiP;B9;your;Deres, Jeres;Deres, deres;;;
ваш;ваш;;;MiP;B9;your;jeres;deres;;;
вдруг;вдруг;;;MiP;L19;suddenly;pludselig;plutselig;;;
ведь;ведь;;;MiP;L12;afterall;jo;jo;;;
вернуть;верну́ть;;;MiP;L20;return;give tilbage;gi tilbake;;вовраща́ть;
вернуться;верну́ться;;;MiP;L15;come back;vende tilbage;komme tilbake;;возвраща́ться;
весело;ве́село;;;MiP;L19;happily;sjovt;morsomt;;;
веселый;весёлый;;;MiP;L19;happy;sjov;morsom;;;
весна;весна́;;;MiP;L19;spring;forår;vår;;;
весной;весно́й;;;MiP;;in the spring;om foråret;om våren;;;
весь;весь;;;MiP;L3;all, whole;al, hel;all, hel;;;
ветеран;ветера́н;;;MiP;L11;veteran;veteran;veteran;;;
вечер;ве́чер;;;MiP;L6;evening;aften;kveld;;;
вечером;ве́чером;;;MiP;L3;in the evening;om aftenen;om kvelden;;;
взять;взять;;;MiP;L8;take;tage, låne;ta, låne;;брать;
вид;вид;;;MiP;L20;view, aspect;udsigt;utsikt;;;
видеть;ви́деть;;;MiP;L7;see;se, få øje på;se, få øye på;;уви́деть;
видеться;ви́деться;;;MiP;;be seen;ses;ses;;уви́деться;
виза;ви́за;;;MiP;L10;visa;visum;visum;;;
викинг;ви́кинг;;;MiP;L11;viking;viking;viking;;;
вино;вино́;;;MiP;B6;wine;vin;vin;;;
вкусный;вку́сный;;;MiP;L3;tasty;lækker;velsmakkende;;;
влюбленный;влюблённый;;;MiP;L21;in love;forelsket;forelsket;;;
вместе;вме́сте;;;MiP;L3;together;sammen;sammen;;;
внук;внук;;;MiP;L13;grandchild;barnebarn;barnebarn;;;
внучка;вну́чка;;;MiP;L14;grandchild;barnebarn;barnebarn;;;
вовращать;вовраща́ть;;;MiP;L20;return;give tilbage;gi tilbake;;верну́ть;
вода;вода́;;;MiP;L19;water;vand;vann;;;
водка;во́дка;;;MiP;B7;vodka;vodka;vodka;;;
возвращаться;возвраща́ться;;;MiP;L15;come back;vende tilbage;komme tilbake;;верну́ться;
война;война́;;;MiP;L11;war;krig;krig;;;
войти;войти́;;;MiP;L14;walk in;gå ind;gå inn;;входи́ть;
вокзал;вокза́л;;;MiP;L18;railway station;banegård;jernbanestasjon;;;
восемь;во́семь;;;MiP;L5;eight;otte;åtte;;;
воскресенье;воскресе́нье;;;MiP;L2;Sunday;søndag;søndag;;;
вот;вот;;;MiP;B2;see here!;se her!;se her!;;;
врач;врач;;;MiP;L12;doctor;læge;lege;;;
время;вре́мя;;;MiP;L1;time;tid;tid;;;
все-таки;всё-таки;;;MiP;L10;at any rate;alligevel;allikevel;;;
всегда;всегда́;;;MiP;L12;always;altid;alltid;;;
вставать;встава́ть;;;MiP;L5;get up;rejse sig;reise seg;;встать;
встать;встать;;;MiP;L5;get up;rejse sig;reise seg;;встава́ть;
встретить;встре́тить;;;MiP;L9;meet;møde;møte;;встреча́ть;
встречать;встреча́ть;;;MiP;L9;meet;møde;møte;;встре́тить;
вторник;вто́рник;;;MiP;L9;Tuesday;tirsdag;tirsdag;;;
второе;второ́е;;;MiP;L7;main course;hovedret;hovedrett;;;
второй;второ́й;;;MiP;L4;second;ande, nr. 2;annen, nr. 2;;;
вход;вход;;;MiP;L15;entrance;indegang;inngang;;;
входить;входи́ть;;;MiP;L14;walk in;gå ind;gå inn;;войти́;
вы;вы;;;MiP;B7;you;De, I;De, dere;;;
выдача;вы́дача;;;MiP;L20;payment, delivery;udlevering;utlevering;;;
выйти;вы́йти;;;MiP;L9;walk out;gå ud;gå ut;;выходи́ть;
выпить;вы́пить;;;MiP;L12;drink;drikke;drikke;;пить;
выходить;выходи́ть;;;MiP;L9;walk out;gå ud;gå ut;;вы́йти;
