aahka	bestemor
aajja	bestefar
aajjove	barnebarn til bestefar
aajkohke	kusine; fetter; søskenbarn
aajroe	åre; spor etter reinflokk; flyttveg
aaksjoe	øks
aalkove	begynnelse
aanja-soene	sene på fremsiden av reinens bein
aarpije	enke; enkemann
aatskadidh	gi seg i kast med; drive iherdig med
abrodh II	regne
aejlege	søndag
aelkedh I	begynne
aerebi	før
aerede	morgen
aerie-bielie	hårside av barket skinn
aevsie	gevir
akte	en
almetje	menneske
altese	bjøre; overstykke (på fremre del av en sko)
altese	sin; sine; hans; hennes; deres
alvas	forferdelig; alvorlig
aske	måne; måned
askedibie	måneskinn
astedh IV	å ha tid (til noe)
baahke	varme, varmt vær
baahkenidh	bli varm
baahkoe	fjellside
baahtsedh IV	smelle; gå av (om et skudd); komme over (f.eks ei elv); komme løs
baajedh IV	la; la være
baajnedh IV	trekke seg inn; ta farge
baaktoe	ved; om; via; forbi
baalhka	stang; klessnor (for å henge noe på)
baarhkoe	bark
baarhkoe-laaje	barklaug
baarhkoe-voesse	barkesekk
baejhtedh I	jage på; drive (f.eks rein)
baeledh I	grave; måke unna (f.eks snø); gjøre reint( i en gamme)
baenie	tann
baenie-dåaktovre	tannlege
baernie	gutt; sønn; kjæreste
baetsedh I	bli igjen; bi etter
baevtie-guedteme	den tid da de fleste kalver fødes
baevtie-skïeredahke	den mest aktive parringstiden (ved Mikkelsmesse 24.sept)
balve	sky
barkedh IV	arbeide
batjka	spæl; hale på rein
bealloe	bjelle
beapmoeh	mat
bearkoe-snaejrie	kjøttskive
bearkoeh	kjøtt
beelhte	belte
beenghkedh VI	banke; knakke
beere	bjørn
beetnege	pengestykke
beltedh I	skremme; avskrekke; skremme bort
berkiestidh	stige opp(om røyk)
betnie	rein som blir stående igjen i hovedgjerde etter skilling; bunn; botn
biejjie	dag
bieljie	øre
biessie	never
biestedh I	slippe; miste fra seg; miste fisken fra kroken
bietskiedidh	klippe til; skjære til
bijjelen	over; henover
binhtedh VI	rydde opp etter slakt
bissedh I	stekke; brenne
boelhketje	en liten stund; liten avstand
boelve	kne
bovtse	rein (enkel dyr); reinhjord
bovtse-almetje		reinskar
bovtsiluvnie	i reinskogen
brorredh IV	bråke; lage vibrerende lyd
buarastehtedh	håndhilse
buaregh	takk for sist; vel møtt; godt møte (sies ved håndhilsing)
buejtie	spekk; fett
buektedh I	komme med
bueledh I	brenne; svi(etter insektbitt); lyse (om nordlys)
buerie	god
buertie	bord
buhtjedh I	melke
buhtjiedidh	vri opp
burredh I	spre ( f.eks rein, ulv, hund); legge utover (f.eks blader)
butnedh I	spinne; tvinne
buvvedh I	drepe
byöpmedidh	spise
byöredh V	burde; behøve; måtte; skulle
bådtjadidh	smøre; impregnere
båeltedh I	brenne(noe); bite (i ansiktet, om hardt vær); brenne 
båeries	gammel
båervie	fett; talg ( kokt eller oppvarmet, også kald, størknet)
båetedh I	komme
båetskie-soene	hælsene
bårrestovvedh IV	bli sulten
