aerede			morgen
fahkedh		   å våkne
tjuedtjielidh	å stå opp
åeredh			å sove
nahkestidh		å sovne
byöpmedidh		å spise
gaavestidh		å gjespe
seangkoe		seng
skubpedh		å pusse
Barkoe          arbeid
Raerie-vedtije			rådgiver, konsulent
Konsulente				konsulent
Hearra				prest
Sjovne				tjenestepike, hushjelp
Vuejije				sjåfør
Skïemtje-syjhtere			sykepleier
Tjaelije				forfatter, skribent
Dåaktere				lege
Fabrigke-barkije			fabrikkarbeider
Barkije				arbeider
Åesies-maennie 		kjøpmann
Åesies-ålma		kjøpmann
Ryöjnesjæjja			gjeter, reingjeter
Guelie-barkije			fiskearbeider, fiskeriarbeider
Göölije				fisker
Åejvie, åvtehke			leder, sjef
Kontovre-barkije			kontorist
Viehkie, viehkiehtæjja		hjelper, assistent
Maana-geehtije			barnepasser, barnevakt
Lohkehtæjja				lærer
Trïengke				dreng
Båatsoeburrie			reindriftssame
Snæhkere				snekker
Teknigkere				tekniker
Jurjiehtæjja				kokk
Doekije				selger
Leekedæjja				slakter
Aamhtese-gïetedallije		saksbehandler 
Aarhskuvle-lohkehtæjja		førskolelærer
