# adjectives_morph
# ======================

# Bárrastávval
# ===================

# HUMANS

# Bárrastávval
asehaš	tynn
árgi	redd
bealjeheapme	døv, tunghørt
čalmmeheapme	blind, svaksynt
čeahppi	flink
čeavlái	overlegen
čuorbi	klosset
duhtavaš	fornøyd
geaffi	fattig
geafi	fattig
guhkki	lang
hávski	morsom, trivelig, hyggelig
jierbmái	forstandig, klok
juolggeheapme	dårlig til beins
lihkoheapme	ulykkelig
lihkolaš	lykkelig
láiki	lat
nuorra	ung
oanehaš	kort
ustitlaš	vennlig
gievra	sterk
risttalaš	kristelig
sávri	utholdende, fast
seaggi	tynn, smal

# Bárahisstávval
amas	fremmed
beakkán	berømt, kjent
bivnnut	omsvermet, populær
boaris	gammel
buozas	syk
oahpis	kjent
vieris	fremmed
viššal	flittig

# Kontrákta
rikkis	rik

# ANIMALS

# Bárrastávval
bahá	bisk
buoidi	tykk, tjukk
falli	rask
fasti	stygg
fámolaš	kraftfull
issoras forferdelig
jalla	dum
luohttevaš	tillitsfull
muoseheapme	urolig, fredløs
njoahci	langsom, sein
headju	dårlig
jaska	stille
neavri	elendig, dårlig
siivui	snill
šiega	snill
uhcci	liten
unni	liten
váralaš	farlig

# Erenoamáš sojaheapmi
allat	høy
lossat	tung
govdat	bred
gassat	tjukk, tykk
vilddas vill
vuoitemeahttun
ártet	rar, merkelig

# Bárahisstávval
gávvil	slu, listig
hiđis	langsom, sein
hilbat	vilter, ustyrlig
ráhkis	kjær
johtil	hurtig, rask
geahpas	lett

# Kontrákta
stuoris	stor



# CLOTHES

# Bárrastávval
baski	trang
dábálaš	vanlig
heivvolaš	passelig
hálbi	billig
ropmi	stygg
ruoná	grønn


# Bárahisstávval
ođas	ny
ođđaáigásaš	nymotens
ruoksat	rød
ruškat	brun
seavdnjat	mørk
suohtas	morsom, artig, gøy, hyggelig
sáhppat	fiolett
vuogas	høvelig
linis	myk, bløt
alit	blå
divrras	dyr
fiskat	gul
buhtis	rein
duolvvas	skitten
goikkis tørr
ráinnas	rein
ránis	grå
čuovgat	lys
čáhppat	svart, sort
šealgat	blank, glitrende, strålende
vielgat	hvit

# Kontrákta
čáppat	fin, vakker, søt
fiinnis	fin


# SOUP

# Bárrastávval
guohca	råtten
buorre	god, bra

# Bárahisstávval
varas	fersk
bahča	bitter
liekkas	varm
galmmas kald

# Kontrákta
njálggis	god, søt (om mat)
njálggat	god, søt (om mat)


# SUBJECTS

# Bárrastávval
álki	lett, enkel
ávkkálaš
deaŧalaš	viktig
dehálaš	viktig
gelddolaš	spennende

# Bárahisstávval
váttis	vanskelig

# ?

# Bárrastávval
birolaš	djevelsk
čielggas	klar
goalki	vindstille
gárzi	trang, smal
láivi	svak, mild
unohas	uhøvelig, ubehagelig
vuollegaš	lav, låg
váimmolaš	hjertelig
váivi	trist, kjedelig, trasig
vejolaš	mulig

# ================================

# Erenoamáš sojaheapmi
=====================
árrat	tidlig

# Bárahisstávval
===================

bastil	kvass
báhkas	het, varm
bávččas	vond, smertefull, ond
bivval	mild, mildt
buolaš	kald
ceakkus	bratt
coagis	grunn
dearvvas	frisk
dearvvaš	frisk
duolbbas	flat
gappas	helt hvit
garas	hard
gearggus	klar
guorus	tom
heittot	dårlig
imaš	rar, merkelig
jorbbas rund
jođán	hurtig, rask
luovus	løs
nanus	solid
njalkkas	glatt
njuolgat	rett
njuoskkas	rå, våt, fuktig
rabas	åpen
váibbas	trøtt
válmmas	klar
válmmaš	klar
váibmil	glad i, begjærlig etter
čielggas	klart, klar
čieŋal	dyp, djup
čoaskkis	kjølig, kald

# Kontrákta
===================
viiddis	vid, bred
vissis	viss, sikker, pålitelig

# ADJ without comp
==================
ahkit	kjedelig, trist
ahkásaš	gammel
boahtte
báikkálaš
dološ
duiska
dálá
dárogiel
dárogielat	norskspråklig
eambbo
eanas
eanaš
eanet
earenoamáš
erenoamán
guovdageaidnulaš
gurut
gánnáhahtti
juhkki
juohkelágan
lestadiánalaš
lohkki
maŋemuš
maŋimuš
maŋit
máilmmiviidosaš
máŋggalágan
nubbi
ollis
ollu
oppa
ovddeš
ovddit
sadjásaš	vikar
sierralágan
sámegiel
sámegielat	samiskspråklig
sápmelaš
veara
visot
vuosttaš
áidna
álás	naken


# VEJ ADJ
addi
bajimuš
bajit
balvái
duiska
duohta
goalmmát
guollái
guđát
gálus
gárži
gávccát
jalahas
jápmán
logát
njealját
oktanuppelogát
olgeš
olggut
olu
ovccát
siskkit
viđát
vuoksái
vuolimuš
vuosttas
vuovdi
čihččet
čálalaš
