# verbs_morph
# =================

# Bárrastávval
# ================
astat	å ha tid
bargat	å arbeide, å jobbe
bassat	å vaske
beassat	å slippe, å få gjøre
bidjat	å sette, å legge, å plassere
borrat	å spise
čaibmat	å le, å flire
čierastallat	å ake, å renne
čuohppat	å skjære, å klippe
čuoigat	å gå på ski
dadjat	å si
dahkat	å gjøre
deaivat	å treffe
dolastallat	å ha bål
doallat	å holde
doapmat	å skynde seg
dovdat	å kjenne
galgat	å skulle
geahččat	å se på
gullat	å høre, å tilhøre
gávdnat	å finne
hárjehallat	å trene, å øve
hupmat	å snakke
hállat	å snakke
hárjehallat	å trene, å øve
imaštallat	å forundre seg
jearrat	å spørre
juhkat	å drikke
juoigat	å joike
lohkat	å lese
mannat	å dra
nohkkat	å sovne, å legge seg
nuollat	å kle av
oahppat	å lære, å se til (fiskegarn)
ohcat	å lete, å søke
ságastallat	å snakke med, å samtale
sihtat	å ville ha
speallat	å spille
stoahkat	å leke
šaddat	å vokse, å bli
viehkat	å løpe, å springe
viežžat	å hente
vuodjat	å svømme
vuoššat	å koke (noen koker)
váibat	å bli trøtt

addit	å gi
arvit	å regne (!)
atnit	å bruke
álgit	å begynne
bassit	å steke, å steike
boahtit	å komme
buktit	å bringe (hit)
báhcit	å bli igjen
čoaggit	å plukke
čállit	å skrive
diehtit	å vite
eallit	å leve
girdit	å fly
joatkit	å fortsette
juohkit	å dele
jáhkkit	å tro, å tru
jápmit	å dø
muitit	å huske
máhttit	å kunne
máksit	å betale, å koste, å bety
oaidnit	å se
oastit	å kjøpe
oađđit	å sove
sáhttit	å kunne
sihkkelastit	å sykle
vuodjit	å kjøre
vuolgit	å dra
vuordit	å vente
vuovdit	å selge
váldit	å ta
vázzit	å spasere, å gå

áigut	å ville
čierrut	å gråte
čuovvut	å følge med
čuožžut	å stå
dáhttut	å be, å invitere
dánsut	å danse
divvut	å reparere
goarrut	å sy
láibut	å bake
lávlut	å synge
njuikut	å hoppe (flere ganger)
oaggut	å fiske med snøre
oažžut	å få
orrut	å bo
sárdnut	å snakke
sárgut	å tegne

# Bárahisstávval
===================
álggahit	å sette i gang, å starte
árvidit	å gjette, å skjønne
basadit	å vaske seg
boradit	å holde måltid, å spise
čájehit	å vise
dearvvahit	å hilse
dárbbašit	å trenge
galledit	å besøke
geahččalit	å forsøke, å prøve
geavahit	å bruke
guldalit	å lytte
gáibidit	å kreve
gárvodit	å kle på seg
gávppašit	å handle (ting)
háleštit	å snakke, å samtale, å prate
háliidit	å ville lyst til, å ville ha
illudit	å glede seg, å bli glad
ipmirdit	å forstå
jorgalit	å oversette, å snu
jurddašit 	å tenke
leat	å være
mearridit	å bestemme
muitalit	å fortelle
málestit	å lage mat
mátkkoštit	å reise
niegadit	å drømme
náitalit	å gifte seg
oahpahit	å undervise
riegádit	å bli født
ráhkadit	å lage
ráhkistit	å elske
sámástit	å snakke samisk
veahkehit	å hjelpe
vuoiŋŋastit	å hvile, å kvile
vástidit	å svare

# kontrákta
================
čohkkát	å sitte
moddját	å smile
veallát	å ligge

čilget	å forklare
čorget	å rydde, å gjøre reint
dinet	å tjene
dánset	å danse
fárret	å flytte
fertet	å måtte
gillet	å gidde
hukset	å bygge
lávet	å pleie, å bruke
málet	å male
njorret	å skjenke, å helle i
njuiket	å hoppe en gang
riidet	å ri
riŋget	å ringe
rávvet	å anbefale, å gi råd, å veilede
sáddet	å sende
tevdnet	å tegne
válljet	å velge

diŋgot	å bestille, å abonnere
duddjot	å lage, å sy, å sløyde
dulkot	å tolke, å oversette
liikot	å like
láhppot	å komme bort
