# nouns_morph
# =================


# HUMANS AND HUMANLIKES
# =====================

# Bárrastávval
# FAMILY
áddjá	bestefar, gammel mann
áhkku	bestemor, gammel dame
áhčči	far
bárdni	gutt, sønn
čeahci	onkel (fars yngre bror)
eadni	mor
eahki	onkel (fars eldre bror)
eanu	onkel (mors bror)
fuolki	slektning
goaski	tante (mors eldre søster)
ipmi	onkels kone
irgi	kjæreste (gutt)
láža
mannji
moarsi	kjæreste (jente), brud
muoŧŧá	tante (mors yngre søster)
máhka	tantes mann, svoger
mánáidmánná
mánná	barn
mánnábiigá	barnevakt
mánnágeahčči	barnevakt
nieida	jente, datter
oabbá	søster
oambealli	kusine
oarpmealli	kusine
risteadni	gudmor
ristáhčči	gudfar
siessá	tante (fars søster)
viellja	bror
vilbealli	fetter
vivva

# Bárahisstávval
áddjut
áhkkut
eamit	kone, hustru, husmor
isit	ektemann, husfar, reineier
jumeš	tvilling
oappáš
ristvánhen
unnaoappáš	lillesøster
unnavieljaš	lillebror
vánhen
váhnen

# PROFESSION
badjesápmelaš	reindriftssame, reinsame
bargi	arbeider, ansatt
bassi	reingjører, rengjøringsassistent, vasker
biigá	tjenestejente, hushjelp
bivdi	fisker, jeger
boanda	bonde
boazosápmelaš	reindriftssame, reinsame
boazosápmi	reindriftssame, reinsame
buohccedivššár	sykepleier
buohcci	pasient
buohccidikšu	sykepleier
báhppa	prest
dálolaš	småbruker, bonde
doaimmaheaddji	redaktør
eanandoalli	jordbruker
eatnandoalli	jordbruker
gávpebargi	ekspeditør, butikkansatt
giehmánni	kjøpmann
girdi	fly, flyger
girječálli	forfatter
goarru	syerske, skredder
guollebivdi	fisker
guođoheaddji	gjeter
hoavda	sjef, leder
jođiheaddji	leder
journalista	journalist
kántorbargi	kontorarbeider, kontoransatt
kántorhoavda	kontorsjef
kántorveahkki	kontorassistent
návetvázzi	fjøsrøkter
njuovvi	slakter
oahpaheaddji	lærer
ovdaskuvlaoahpaheaddji
poliisa	politi
politiija	politi
studeanta	student
váldodoaimmaheaddji	redaktør
viessobearráigeahčči	vaktmester

# Bárahisstávval
doavttir	lege, doktor
duojár	duodjiutøver
duopmár	dommer
luhkkár	klokker
minister	minister
neavttár	skuespiller
rektor	rektor
rievvár	røver
snihkkár	snekker
stáhtaminister	statsminister
suola	tyv

# OTHER ACTORS
ássi	innbygger
čiekči	fotballspiller
čuoigi	skiløper
čálli	forfatter, sekretær
lohkki	leser, en som leser
vuoddji	sjåfør
vuoiti	vinner
oahppi	elev
ohcci	søker

# Bárahisstávval

# OTHERS
baikačivga	skitunge
boaresbárdni	ungkar
boaresnieida	ugift kvinne
čáhcerávga	draug
dáža	nordmann
dievdu	mann
gánda	gutt, sønn
gávttehas	koftekledd person
guoibmi	kamerat, ledsager, partner
guossi	gjest
háldi	hulder
julevsápmelaš	lulesame
julevsápmi	lulesame
juovlastállu	julenisse
kránnjá	nabo
leaska	enke, enkemann
lunta	guttunge
mearrasápmelaš	sjøsame
mearrasápmi	sjøsame
nuorra	ungdom
reaŋga	tjenestegutt, dreng
rivgu	ikke-samisk kvinne
ruovttuveahkki	hjemmehjelp
ruoŧŧilaš	svenske
ránnjá	nabo
siidaveahkki	hjemmehjelp
skuvlamánná	skolebarn
stállu	stallo
suopmelaš	finne, finnlender
sápmelaš		same
sápmi	same, samisk språk
sápmi	same, samisk språk
turista	turist
ulda	hulder
vánddardeaddji	vandrer
veahkki	hjelp
vearrodahkki	kriminell
verdde	bekjent, venn, verde

# Bárahisstávval
bártnáš	liten gutt
dálueamit	husmor
mánáš	lite barn, liten unge
nieiddaš	liten jente
nisson	kvinne
nisu	kvinne
skibir	venn
skihpár	venn
ustit	venn
váhnen	forelder
vánhen	forelder

# Kontrákta
badjeolmmoš	reindrifssame
mátkeolmmái	reisekamerat
moallaolmmái	målmann, keeper
ollesolmmoš	voksen
olmmái	venn, mann, kamerat
olmmoš	menneske, person
ovdaolmmoš	formann, forkvinne
rávesolmmoš	voksen

# GROUPS
náittosbárra	brudepar
searvegoddi	menighet
sohka	slektning, slekt
sohkagoddi	slekt

# Bárahisstávval
álbmot	folk
álgoálbmot	urbefolkning
bearaš	familie
eamiálbmot	urbefolkning





# BODY
# =====
aski	fang
bahta	rumpe, bakende, fjordbotn
beallji	øre
buolva	kne, generasjon
bátni	tann
čalbmi	øye
čibbi	kne
čielgi	rygg
čoavji	mage
čurti	rumpe
gazza	negl, klo, hov, klov
giehta	hand, hånd
guolga	(kropps-)hår
hárdu
jierbmi	forstand, fornuft
juolgesuorbma	tå
juolgi	fot
liiki	hud
muohtu	kinn
nierra	kinn
niski	nakke
njunni	nese
njálbmi	munn
oaivi	hode
oalgi	skulder
sealgi	rygg
smarvi	krøll
suorbma	finger
varra	blod
vuovttat		hår
váibmu	hjerte


# Bárahisstávval
čeabet	hals (utenpå)
čoarvvuš	gevir
čotta	hals (inni), strupe
bavssa	leppe
ganjal	tåre
gorut	kropp, slakt, skrott
njuovčča	tunge
rumaš	kropp
vuoivvas	lever


# ILLNESS
# ================

# Bárrastávval
dávda	sykdom
golgodávda	reksjuke, omgangssyke, omgangssjuke
gosahat	hoste
hávvi	sår
leasmi	gikt
luhčadávda	tynn mage, diare
nuorvu	forkjølelse
tableahtta	tablett
vuovssanasdávda	oppkastsyke

# Bárahisstávval
bávččas	smerte
čoavjebávččas	mageknip, mageondt
čottabávččas	halsonde
dálkkas	medisin
feber	feber
oaivebávččas	hodepine


# BUILDINGS AND ROOMS
# ===================

# Bárrastávval
astoáiggeklubba	fritidsklubb
astoáiggeviessu	fritidsklubb
áiti	stabbur
barta	hytte
basadanlatnja	baderom, bad
basahat	vaskeri
báŋku	bank
biblioteahka	bibliotek
biiladivohat	bilverksted
biilagávpi	bilbutikk
birasviessu	miljøbygg
bivttasgávpi	klesbutikk
boaššu	innerrommet (i gamme)
borramušgávpi	matbutikk
buohcceviessu	sykehus
buvri	bu
darfegoahti	torvgamme
dállu	gård, hus
diskotehka	diskotek
divohat	verksted
duodjelatnja	systue, handarbeidsrom, sløyrom
duottarstohpu	fjellstue
gáffádat	kafe
gávpi	butikk
gieldaviessu	kommunehus
giliviessu	bygdehus
girdišillju	flyplass
girjebusse	bokbuss
girjerádju	bibliotek
girku	kirke
goahti	gamme, buestangstelt
hotealla	hotell
internáhtta	internat
kafeá	kafe
kantuvra	kontor
kino	kino
kioska	kiosk	
latnja	rom, værelse
lavdnjegoahti	torvgamme
láibbohat	bakeri
lávvu	lavvo, telt
loaidu	soveplass i telt
lokta	loft
mánáidgárdi	barnehage
molssodanlatnja	garderobe
musea	museum
návetgoahti	fjøsgamme
návsti	naust
návstu	naust
nuoraidklubba	ungdomsklubb
oađđenlatnja	soverom
oađđinlatnja	soverom
orrunsadji	boplass, bolig
ráđđeviessu	rådhus
rámbuvri	butikk
rántet	et sted man hogger ved
ruoktu	hjem
siida	hjem, reinby
stállja	stall
stohpu	hus, stue
šillju	gårdsplass
tealtá	telt
valástallanhálla	idrettshall
viessu	hus

# Bárahisstávval
báhpagárdin	prestegård
feaskkir	gang, yttergang
geallir	kjeller
gievkkan	kjøkken
girjerájus	bibliotek
guollerusttet	fiskebedrift, fiskeforedlingsbedrift
gámmir	kammers, rom, værelse
gámmár	kammers, rom, værelse
hivsset	do, toalett
njuovvanrusttet	slakteri
návet	fjøs
rántet	et sted man hogger ved
visoš	lite hus
vuojadanálddis	svømmebasseng

# IN A ROOM
# ==========

# Bárrastávval
bassaladdanmášiidna	vaskemaskin
beavdi	bord
beaŋka	benk, stol
CD-čuojanas	CD-spiller
čiehka	hjørne
čuovga	lys
goallu	lampe
govva	bilde
guolbi	golv
gáhttu	tak
gávnnit	sengklær
hildu	hylle
ildu	hylle
kaseahttačuojanas	kassettspiller
láhtti	golv
lámpu	lampe
lámpá	lampe
lássa	lås
lássalávdi	vinduskarm
láseliidni
lássaliidni	gardin
lávdi	scene
lihttebassanmášiidna	oppvaskmaskin
loahkka	lås
radio	radio
rohpi	tak
ráhppá	trapp
rátnu	teppe
riššu	dusj
ruskalihtti	søppelkurv, papirkurv, søppelbøtte
seaidni	vegg
seaŋga	seng
skábe	skap
skáhppa	skap
skáhppe	skap
soffá	sofa
stohpogálvu	møbel
stuollu	stol
tráhppá	trapp
TV	TV
uksa	dør
viessogálvu	møbel


# Bárahisstávval
árran	ildsted
bassanálddis	vaskeservant
govččas	teppe


# CONVERSATION
# ==========

# Bárrastávval
dárogiella	norsk språk
eatnigiella	morsmål
eŋgelasgiella	engelsk språk
giella	språk
ruoššagiella	russisk språk
ruoŧagiella	svensk språk
suomagiella	finsk språk
sámegiella	samisk språk
sárdni	preken, tale
vuosttašgiella	førstespråk

# EDUCATION
# ==========

# Bárrastávval
allaskuvla	høgskole, høyskole
álbmotallaskuvla	folkehøgskole, folkehøyskole
biilaskuvla	kjøreskole
čállingursa	skrivekurs
čállinkursa	skrivekurs
giellagursa	språkkurs
giellakursa	språkkurs
gursa	kurs
joatkkaskuvla	videregående skole
klássa	klasse
kursa	kurs
luohkká	bakke, klasse
mánáidskuvla	barneskole
nuoraidskuvla	ungdomsskole
rihppaskuvla	konfirmasjonsskole
sámegielgursa	samiskkurs
sámegielkursa	samiskkurs
skuvla	skole
universitehta	universitet
vuodjinskuvla	kjøreskole
vuođđoskuvla	grunnskole

# THINGS
# ==========

# Bárrastávval
áidi	gjerde
basaldat	vaskeklut
baste	skje
beanna	penn
biellu	bjelle
biergogievdni	kjøttgryte
bircu	terning, kloss
boaldámuš	brensel
bodni	bunn
bursa	pengepung
báddi	tau, rep, snor, reip
čuojanas	instrument
diŋga	ting, gjenstand, sak
duollji	reinskinn
fierbmi	garn, nett
gitárra	gitar
gárastat	snøre
juvla	jul
lohkki	lokk
mášiidna	maskin
mearka	merke
millu	mølle
niibi	kniv
olju	olje
peanna	penn
piano	piano
riegádanbeaiskeaŋka	fødselsdagsgave, bursdagsgave
rišša	fyrstikk
riššadoassa	fyrstikkeske
riššasággi	fyrstikk
ruhta	penge
ruhtabursa	pengepung
ráidu	serie
sáibma	fiskegarn
spábba	ball
sáibbo	såpe
sáibu	såpe
sihkaldat	håndkle, handkle
skeaŋka	gave
skruva	skrue
skruva	skrue
soabbi	stav, skistav
sovpá	såpe
šámpu	sjampo, shampo
vuogga	sluk, fiskekrok, angel
vuoktašámpu	hårsjampo

# Bárahisstávval
bierggas	ting, gjenstand
biilačoavdda	bilnøkkel
čoavdda	nøkkel
čogu	kam
