# verbs_morph
# =================

# Bárrastávval
# ================
astat	å ha tid
áigut	å ville
álgit	å begynne
bargat	å arbeide, å jobbe
báhcit	å bli igjen
beassat	å slippe, å få gjøre
bidjat	å sette, å legge, å plassere
bivvat	å holde varmen
boahtit	å komme
borrat	å spise
buktit	å bringe (hit)
čállit	å skrive
lohkat	å lese
čierrut	å gråte
čuoigat	å gå på ski
dadjat	å si
dihtit	å vite
doalvut	å bringe (bort)
addit	å gi
áddet	å forstå
eallit	å leve
galgat	å skulle
geahččat	å se på
oaidnit	å se
vázzit	å spasere, å gå
vuodjit	å kjøre
vuodjat	å svømme
viehkat	å løpe, å springe
ruohttat	å springe (helst om firbente)
juhkat	å drikke
nohkkat	å sovne, å legge seg
oađđit	å sove
oažžut	å få
girdit	å fly
gullat	å høre, å tilhøre
haksit	å lukte
dovdat	å kjenne
hállat	å snakke
hupmat	å snakke
sárdnut	å snakke
máhttit	å kunne
sáhttit	å kunne
soaitit	å kanskje kunne
dáidit	å kanskje kunne
gillet	å gidde
jearrat	å spørre
juoigat	å joike
láibut	å bake
lávlut	å synge
mannat	å dra
máksit	å betale, å koste, å bety
muitit	å huske
oahppat	å lære
oastit	å kjøpe
vuovdit	å selge
guoddit	å bære, å fø (om dyr)
ohcat	å lete, å søke
gávdnat	å finne
orrut	å bo
váldit	å ta
viežžat	å hente
vuordit	å vente
viššat	å gidde, å orke
vuolgit	å dra
dádjut	å tulle
álgit	å begynne
coggat	å stappe, å putte, å ta på seg et plagg
bivdit	å jakte, å fiske
arvit	å regne (!)
muohttit å snø (!)
doaivut	å tro, å håpe
doapmat	å skynde seg
duoldat	å koke (om suppa)
vuoššat	å koke (noen koker)
duostat	å våge
fállat	å tilby
fitnat	å ta seg en tur
iskat	å 
geargat	å bli ferdig
geassit	å trekke, å dra, å ha plass til
goallut	å fryse
goddit	å drepe, å fange
gohcit	å være våken
gossat	å hoste
hárdit	å erte
hoigat	å skyve	
jávkat	å forsvinne
johtit	å reise, å gli, å ferdes
atnit	å bruke
lihkkat	å stå opp
njuovvat	å slakte
sihtat	å ville ha
stoahkat	å leke
duhkkoraddat	å leke
duhkkordallat	å leke
stuorrut	å bli større, å vokse
šaddat	å vokse, å bli
vajálduhttit	å glemme
váibat	å bli trøtt
veadjit	å orke, å greie
bassat	å vaske
bassit	å steke, å steike
báitit	å skinne
billáhuvvat	å bli ødelagt
billášuvvat	å bli ødelagt
bissut	å holdes
bistit	å vare
čáibmat	å le, å flire
boaldit	å brenne (noe)
buollit	å brenne
bohčit	å melki
bahčit	å melke
báhčit	å skyte
batnit	å spinne
botnit	å spinne
bardit	å stable
bordit	å stable
dikšut	å pleie
buorastahttit	å hilse på
caggat	å forhindre
cealkit	å si
ciellat	å bjeffe, å gjø
coakcut	å få fotfeste
čatnat	å binde
čáhkat	å få plass
čiekčat	å sparke
čierastallat	å ake, å renne
čieskat	å klyve (margbein), å kløyve margbein
čoaggit	å plukke
čoahppat	å skjære, å klippe	
čuožžut	å stå
čuorvut	å rope (flere ganger)
čuovvut	å følge med
njuikut	å hoppe (flere ganger)
dahkat	å gjøre
dáhpáhuvvat	å skje, å hende
dáhttut	å be om
doallat	å holde
dánsut	å danse
deaivat	å treffe
dearvvašnuvvat	å bli frisk
dearvvašmuvvat	å bli frisk
deavdit	å fylle
diktit	å tillate
suovvat å tillate, å gi lov
divvut	å reparere
doadjit	å brekke, å knekke
doahput	å gripe, å nappe (flere ganger)
doarjut	å støtte
doarrut	å slåss, å stange
duktat	å undersøke, å etterforske
guorahallat	å undersøke
faláštallat	å drive idrett
valáštallat	å drive idrett
gahččat	å falle, å ramle, å dette
gaikut	å rive
galbmigoahtit	å fryse til
gárrat	å snøre, å binde
gierdat	å tåle
giksat	å bli ferdigkokt, å bli kokt
gilvit	å plante, å så
gilvvohallat	å konkurrere
goardit	å varme, å steke
goarrut	å sy
goikat	å tørke
goikadit	å tørke, å henge til tørk
sihkkut	å tørke av
golgat	å renne
gollat	å brukes opp, å gå (om tid)
hárjehallat	å trene, å øve
heaitit	å slutte
illudahttit	å glede (en annen)
jáhkkit	å tro, å tru
jápmit	å dø
joatkit	å fortsette
joksat	å innhente, å nå, å oppnå
jorrat	å gå rundt, å dreie rundt
láhppit	å miste
massit	å miste
leaikut	å helle, å skjenke
luoikat	å låne bort
njiedjat	å stige ned
njoarrat	å skjenke, å helle
nohkat	å ta slutt
nuollat	å kle av
oaggut	å fiske med snøre
rehkenastit	å regne
sávvat	å ønske
suddat	å smelte
suhttat	å bli sint
suoladit	å stjele
váccašit	å spasere (en tur)
vuoidat	å smøre
vuoitit	å vinne

# Bárahisstávval
===================
vuojašit	å kjøre (en tur) (stadig)
vuoiŋŋastit	å hvile, å kvile
ribahit	å være uheldig å miste
oaivvildit	å mene
nuoladit	å kle av seg
málestit	å lage mat
njurggadit	å plystre en gang
lahkanit	å nærme seg
lohkonit	
viehkalit	å begynne å løpe, å løpe avsted
vázzilit	å begynne å gå, å gå avsted
girdilit	å begynne å fly, å fly avgårde
garvilit	å kjøre rundt, å unnvike
garahit	å skrelle
garvvihit	å skrelle
galmmihit	å fryse ned, få til å fryse
ealihit	å livberge
doaimmahit	å utføre
divuhit	å få reparert
deaivvadit	å treffe, å treffes
lágidit	å arrangere
niegadit	å drømme
gáibidit	å kreve
beaskidit	å klippe 
čujuhit	å peke, å refere til
čierastit	å renne, å ake
cummestit	å kysse
borahit	å mate
boagustit	å le, å flire
bilidit	å ødelegge
billistit	å ødelegge
basadit	å vaske seg
barggahit	å få noen til å arbeide
álggahit	å sette i gang, å starte
almmmuhit	å bekjentgjøre, å annonsere, å gjøre kjent
árvalit	å foreslå, å ymte
evttohit	å foreslå
veahkehit	å hjelpe
árvidit	å gjette, å skjønne
boradit	å holde måltid, å spise
čájehit	å vise
vuosehit	å vise
čuojahit	å ringe, å spille (instrument)
dárbbašit	å trenge
dárbbahit	å trenge
ipmirdit	å forstå
gárvodit	å kle på seg
gávppašit	å handle (ting)
vástidit	å svare
muitalit	å fortelle
oahpahit	å undervise
buorranit	å bli bedre
cuovkanit	å bli knust
darvanit	å bli sittende fast, å sitte fast
dulvadit	å demme opp
geahččalit	å forsøke, å prøve
háliidit	å ville lyst til, å ville ha
jorggihit	å snu
jorgalit	å oversette, å snu
jurddašit	å tenke
jurddahit	å tenke
geavahit	å bruke
mátkkoštit	å reise
nagodit	å klare
náitalit	å gifte seg
njuovadit	å slakte
orustit	å stanse
riegádit	å bli født
duolddahit	å la koke, å koke
geahčadit	å betrakte, å se på lenge
geahčastit	å kaste et blikk på
gielistit	å lyge, å skrøne
guldalit	å lytte
guorranit	å bli tom
háleštit	å snakke, å samtale, å prate
hárjánit	å venne seg til
heavvanit	å bli slått ut, å drukne
humadit	å prate, å samtale
idjadit	å overnatte
ijastit	å overnatte
jođašit	å ferdes, å reise
johtalit	å ferdes (kontinuerlig)
leat	å være
leahtit	å være
leahkit	å være
ráhkistit	å elske
logadit	å lese (lenge)
lohpidit	å love
luoikkahit	å låne
ráhkadit	å lage
ráhkkanit	å forberede
váruhit	å passe seg, å være forsiktig

# kontrákta
================
válljet	å velge
riidet	å ri
lonet	å låne
liikot	å like
leiket	å helle en gang, å skjenke en gang
diŋgot	å bestille, å abonnere
veallát	å ligge
čohkkát	å sitte
fárret	å flytte
fertet	å måtte
fidnet	å få
birget	å klare seg
johttát	å begynne å flytte
lávet	å pleie, å bruke
