

GRAMMATIKK-FORKLARINGER



akkusativ	Kasus som brukes for objekt, f.eks. Mun oasttán 'gusa'. eller Mun oasttán 'gusaid'. Likestavelsessubstantiv får svakt stadium, ulikestavelsesstubstantiv får sterkt stadium og endinga -a: 'nissona' (nisu). Kontrakte substantiv får sterkt eller ekstra sterkt stadium: 'sullo' (suolu). Flertall har endinga -id: 'gusaid' 'nissoniid' 'sulluid'. Test med et substantiv i nominativ (grunnform): XXX	    

attributt form	Forma adjektiv, tallord og påpekende pronomen har når de står foran substantivet: 'fiskes' viessu, 'guovtti' lanjas. Adjektiv har samme attributtform uansett hvilket tall eller kasus substantivet har, borsett fra 'buorre'. Det er delvis kongruens (samsvar) mellom tallord, påpekende pronomen og 'buorre' og substantivet: 
- dát viessu........... 

diftongforenkling	Diftongen i første del av en takt, når vokalen i andre stavelse er:
- 'ii': 'gihtii' (giehta)
- 'e' og 'o': 'dihten' (diehtit), 'ožžon' (oažžut) unntatt i nektelsesform: in 'dieđe', in 'oaččo' og i sammensatte ord: 'beavdeliidni' (beavdi + liidni), 'boallobeavdi' (boallu + beavdi) 
- 'ui' i illativ entall: 'vissui' (viessu)

entall	Ord som viser til en referent eller en type av referenter.

essiv	Tilstandskasus som ofte gir betydningen "som": Viessu geavahuvvo 'skuvlan' (som skole). Det er ikke forskjell på entall og flertall. Test med et substantiv i nominativ (grunnform): XXX

finitt verb	Verb som er bøyd i person og tall. Det bøyes i samsvar med subjektet: mun 'boađán' - sii 'boađášedje' 

flertall	Ord som viser til flere referenter.

genitiv	Kasus som angir eieform: 'gusa' (kuas) - 'gusaid' (kyrnes). Formen er lik akkusativ, bortsett fra for tallord. Likestavelsessubstantiv får svakt stadium, ulikestavelsesstubstantiv får sterkt stadium og endinga -a: 'nissona' (nisu). Kontrakte substantiv får sterkt eller ekstra sterkt stadium: 'sullo' (suolu). Flertall har endinga -id: 'gusaid' 'nissoniid' 'sulluid'. Test med et substantiv i nominativ (grunnform): XXX

go-spørsmål	På samisk lager man ja/nei-spørsmål med å legge til partikkelen 'go' etter verbet: 'Boađát go odne?' eller 'Boađátgo odne?' Man svarer med verbet: 'In boađe' (nei) eller 'De boađán' (ja).

illativ	Kasus som betegner bevegelse til eller inn i noe: 'skuvlii' (til skolen) - 'skuvllaide' (til skolene). Likestavelsessubstantiv har sterkt stadium, vokalen i andre stavelse endrer seg  og så får man endingen 'i': 'láibái' (láibi), 'gussii' (gussa), 'reŋkui' (reŋko), 'báŋkui' (báŋku). Ulikestavelsesstubstantiv får sterkt stadium og 'ii': 'nissonii' (nisu). Kontrakte substantiv får sterkt eller ekstra sterkt stadium og endingen 'i': 'sullui' (suolu). Flertall har endinga -ide: 'láibbiide' 'sulluide' og ulikestavelsessubstantiv får 'iidda': 'nissoniidda'. Test med et substantiv i nominativ (grunnform): XXX

imperativ	Verbets bydeform - f.eks. 'boađe!' 'boahtti!' Det er forskjellige former for person og tall. Test med et verb i infinitiv (grunnform): XXX

indikativ	Verbets fortellende form - f.eks. 'boađát', 'it boahtán'

infinitiv	Verbets grunnform - 'boahtit' (å komme). 	

intransitivt verb	Verb som ikke kan ta objekt i akkusativ: ’mannat’

kasus	Bøyningsform av substantiv, adjektiv, tallord og pronomen. I nordsamisk er det sju kasus. 

komitativ	Kasus som ofte gir betydningen "med": 'niibbiin' (med kniv) - 'niibbiiguin' (med kniver). Likestavelsessubstantiv får svakt stadium, ulikestavelsesstubstantiv får sterkt stadium: 'nissoniin' (nisu). Kontrakte substantiv får sterkt eller ekstra sterkt stadium: 'sulluin' (suolu). Flertall har endinga -iguin: 'nissoniiguin' 'sulluiguin'. Test med et substantiv i nominativ (grunnform): XXX

komparativ	Sammenligningsgrad av adjektiver: 'stuorit' 'boarráseappo'. Test med et adjektiv i positiv (grunnform): XXX

komparere	Gradbøye adjektiv: 'unni - unnit - unnimus' (liten - mindre - minst)

kondisjonalis	Verbets form som uttrykker betingelse for handlingen/hendelsen - f.eks. mun 'boađášin'. Likestavelsesverb og kontrakte verb får -š- + preteritum endelse: mii 'fárrešeimmet'. Ulikestavelsesverb får -včč- + preteritum endelse: soai 'háliidivččiiga'. Test med et verb i infinitiv (grunnform): XXX 

kongruens	Samsvar i bøyning, f.eks. mellom subjekt og verbal: 'mun boađán', 'don boađát'

kontrakt adjektiv	Adjektiv som har to stavelser i entall og flertall, og svakt stadium i nominativ entall og sterkt stadium i flertall: 'njálggis - sullot' 'bálggis - bálgát'. 

kontrakt substantiv	Substantiv som har to stavelser i entall og flertall, og svakt stadium i nominativ entall og sterkt eller ekstrasterkt stadium i flertall: 'suolu - sullot' 'bálggis - bálgát'. 

kontrakt verb	Verb som har to stavelser, og ender på -át, -et eller -ot i infinitiv: 'liikot' 'čohkkát' 'fárret'. Verbene har ikke stadieveksling, og bøyes som stort sett som likestavelsesverb, men som ulikestavelsesverb i noen bøyningsformer: 'moai liikojetne' 'sii liikojit' 'mun liikojin' 'don liikojit' 'sii liikojedje'.   Test med et verb i infinitiv (grunnform) og få bøyningsformene: XXX 

likestavelsessubstantiv	Substantiv som har to stavelser i siste takt, og sterkt stadium i nominativ entall og svakt i flertall: 'gussa - gusat' 'vilbealli - vilbealit'. Test med et substantiv i nominativ (grunnform) og få bøyningsformene: XXX 

likestavelsesverb	Verb som har to stavelser i siste takt, og ender på -at, -it eller -ut i infinitiv: 'boahtit' 'mannat' 'lávlut' 'rehkenastit' 'muitališgoahtit'. Verbene har stadieveksling.   Test med et verb i infinitiv (grunnform) og få bøyningsformene: XXX 

lokativ	Kasus som betegner på/i stedet eller fra stedet: 'skuvllas' (på/fra skolen) - 'skuvllain' (på/fra skolene). Endingen er -s. Likestavelsessubstantiv får svakt stadium, ulikestavelsesstubstantiv får sterkt stadium: 'nissonis' (nisu). Kontrakte substantiv får sterkt eller ekstra sterkt stadium: 'sullus' (suolu). Flertall har endinga -in: 'nissoniin' 'sulluin'. Test med et substantiv i nominativ (grunnform): XXX

modus	Form av verbet som betegner den talendes forhold til det som sies. Vi har fire modus på samisk: indikativ: 'boađát', imperativ: 'boađe', kondisjonalis: 'boađášit', potensialis: 'bođežat'

nektelse	Nektelse består av nektelsesverb og hovedverb i nektelsesform - 'in boađe' (jeg kommer ikke) eller 'in boahtán' (jeg kom ikke). I preteritum er hovedverbet lik perfektum partisipp. Skriv et verb i infinitiv (grunnform) og få nektelsesform i presens: XXX

nominativ	 Kasus som angir grunnformen av nomen: 'gussa'. Flertall har endingen -t og likestavelsessubstantiv får svakt stadium: 'gusat' (gussa), ulikestavelsesstubstantiv får sterkt stadium: 'nissonat' (nisu). Kontrakte substantiv får sterkt eller ekstra sterkt stadium: 'sullot' (suolu).    

objekt	Setningsdel som står til et transitivt verb, hvis det er et nomen er det i akkusativ: Mun oasttán 'boares gusa'. Objekt kan også være infinitiv, bisetning.....	

ordenstall	Tallord som angir plassering i rekkefølge: 'vuosttaš' 'nubbi' 'goalmmát'. Test med et tall: XXX

positiv	Adjektivets grunnform: 'stuoris' 'boaris'

potensialis	Verbets form som uttrykker mulighet - f.eks. 'bođežan'. Test med et verb i infinitiv (grunnform): XXX

predikativ form	Forma som adjektivet har når det står etter substantivet: Viessu lea 'fiskat'. Viesut leat 'fiskadat'. Nieida lea 'nuorra'. Nieiddat leat 'nuorat'. 

presens	Verbets nåtid: 'boađán' (jeg kommer) 'in boađe' (jeg kommer ikke). Test med et verb i infinitiv (grunnform): XXX

preteritum	Verbets fortid: 'bohten' (jeg kom) 'in boahtán' (jeg kom ikke). Test med et verb i infinitiv (grunnform): XXX

samlingstall	'golmmas' - betyr det samme som "golbma olbmo" (tre personer). Samlingstall bøyes som substantiv. Test med et tall: XXX

stadieveksling	Veksling i konsonantgruppe mellom første og andre stavinga i ei takt (sámegiella - sámegiela).

