
A
aalmugovdâsteijee 	kansanedustaja
aassâmkorttel	asuinkortteli
almekáppálâh 	taivaankappale

C
cimccâhliljá	helmililja
cissááš 	lapintiainen

Č
čalmettem 	sokea
časkostuástus	iskunvaimennin
čácikiäinu 	vesireitti
čielgi	selkä, selkäranka
čielgitáávtág 	selkärankainen
čielgitävtittem 	selkärangaton
čohčâmielkkirääsi	syysmaitiainen
čuovjiscissááš 	sinitiainen
čuovjiskiällurääsi	kissankello
čuovjisliljá	sinililja
čäcisäplig 	vesimyyrä

E
eennâmhurgee 	maakiitäjäinen
eennâmuási	maanosa
eennâmverdi	maavarsi
emi	emi
enâdâh	maisema

F
fiskispiäivááloddááš 	sitruunaperhonen

G
gneissi 	gneissi
graniit 	graniitti

H
hajâáiccu	hajuaisti
haldâttâs	hallitus
heeđâlm	hedelmä
hiävuškutkâ	hevosmuurahainen
huhti-ijjâhâš	huhtiyökkönen
hävvilostâ	piharatamo
häämimolsom 	muodonmuutos

I
ijjâpiäivááloddááš 	yöperhonen, yökkönen
iskos	koe

J
jaamišrääsi	pihasaunio
jieŋâäigi 	jääkausi
jiereeh	herukka, viinimarja
jiereehpiäivááloddááš	herukkaperhonen
jierssee 	kanahaukka
jietânâskirno 	hiidenkirnu
jolgâsuonâsâš	silposuoninen (lehti)
jotolâh 	liikenne
jotolâhmerkkâ 	liikennemerkki
jursee 	jyrsijä
jyemeehjuolgâg	juoksujalkainen

K
kaskas 	kaskas
kásániđ	liuota
kesilodde 	muuttolintu
kiđđâčalme	kevätesikko
kiehâ	käki
kierâš 	palokärki
kievânjuolâs 	maitohorsma
kiirjágloddááš	kirjosieppo
kiärpáš	huonekärpänen
kobdodâhpirrâdâh 	leveyspiiri
kollepottâ	raatokärpänen
kollepuállu	pietaryrtti
komovuotâ	avaruus
kovjâpuŋkki	pölypunkki
kovjiđ 	pölyttää
kuámmirsuonâsâš	kourasuoninen (lehti)
kuátikuuđhâš	ryppyviholainen
kukká 	kukka
kukkásiipuul	kukkasipuli
kukkodâhpirrâdâh 	pituuspiiri
kulmâhâšrááhtus	kolmiorakenne	
kulo	kuuloaisti, kuulo
kuocâkiccee 	turkkilo
kuolbâpiäivááloddááš	kangasperhonen
kutkâ	kekomuurahainen
kyevdi 	kyykäärme
källeevuáđu 	kallioperä
kärŋilis tääsi 	kalteva taso
käskee	nokkonen
käskee	nokkonen
käskeepiäivááloddááš	nokkosperhonen
käskimčuáimáš 	ukonkorento

L
lanttu	lanttu
lanttupiäivááloddááš	lanttuperhonen
leibipihtee	leivänpaahdin
lieđikovjâ	siitepöly
lieđilostâ 	terälehti
liegâsvuođâtile 	lämpötila
liäđus 	kukinto
lođâsrapu 	siira
loomijn pessejeijee 	kolopesijä
loovdâlostâ 	verholehti
lostâstâh 	lehdykkä
lote 	kiila
luttihâš	lude
lädikuávská	harakka
läälliđ 	hautoa

M
marsu 	marsu
meccirippo	metsäetana
Meerâpohe	Merenkurkku
mietâ	mesi
mietâkolgos	mesikaste
mievri	mäyrä
mittokaava	mittakaava
miäđušijn	kimalainen
molssa	vaihde
muldesäplig	myyrä

N
naavrâs	nauris
nannaam	manner
nannaamjieŋâ 	mannerjää
njamonjune 	imukärsä
njomâtteijee 	nisäkäs
njuolâijjâhâš	nuoliyökkönen
njuolâshurgee 	horsmakiitäjä
näkki 	naakka
näpipirrâdâh 	napapiiri

O
oijâgâs	horros
olečuággoo 	loispistiäinen
olgoštem 	syrjiä
ollâteedâ 	korkeapaine
orgaanlâš 	eloperäinen
orostâh 	pysäkki
ovdánemvádulâš	kehitysvammainen
ovdâskodde 	eduskunta
ovdâskoddetáálu	eduskuntatalo

P
paaccâhčäšni	käpytikka
pajoseh 	ylänkö
panneemjare	kehruunystyrä
parâlostâstâhlâš	parilehdykkäinen (lehden muoto)
parâttâllâđ 	paritella
Peeivitäsideijee 	Päiväntasaaja
peljittem 	huonokuuloinen
persiljá	persilja
pesnirihhááš	västäräkki
pessiđ 	pesiä
pihlejâš	pihlaja
piäippáin 	peippo
piäivááloddááš 	perhonen
piäldukuállá, sävnikuállá	peltosaunio	
piäsádâh 	pesue, poikue
piätutivre	petohyönteinen
ponjemiesttâ	paatsama
porkkan	porkkana
Puáhinävli 	Pohjantähti
puŋkki 	punkki
puohčâmkäärbis	sukellusvene
puohporree 	kaikkiruokainen
puuđijâš	puutiainen
puuicâs	puikea (lehden muoto)
puzzâ	höyhen
puzzâsuonâsâš	sulkasuoninen (lehti)
pyeidicissááš 	talitiainen
päddilágán	nauhamainen (lehden muoto)
pähkin	pähkinä

R
raavvâdkuálus	ravintoketju
rátuporree 	raadonsyöjä
rievdeeliegâslâš	vaihtolämpöinen
riisihärö 	riisihärö
riitaarpiäivááloddááš	ritariperhonen
rippo 	etana
robdâsäärgis	ääriviiva
rullâluávdástellee 	rullalautailija
rullâluistájeijee	rullaluistelija
ruopsisruotâs	punajuuri
ruopsisryeivil	punatulkku
ruossâevni 	ristihämähäkki
ruottâmjuolgâg	kaksoisjalkainen
ruškâdâs	ruskuainen (munassa)
ränisrástágâš 	räkättirastas

S
sajelodde 	paikkalintu
salâsteijee 	saalistaja
seevvimkielâ 	viittomakieli
sieivâsuáhi 	hieskoivu
siipuul	sipuli
siirdâloigiittâh 	siirtolohkare
siärvádâhellee 	yhdyskuntaeläin
skuáppu 	kotelo
