algâelleeh	alkueläimet
algâiäláneh	alkueliöt
algâlâš	alkeellinen
algâolmooš	alkuihminen
algâčuolmâ	alkio
almos iälsu	yleiskunto
anorektk	anorektikko
aortta	aortta l. valtimo
apiriemnis 	aavikkokettu
aro	aro
arvevyevdi	sademetsä
assaasloostâg 	nahkealehtinen
ciägustiällu	pystyasento
cuábuiellee	sammakkoeläin
eennâmhurgee 	maakiitäjäinen
elleesellâ 	eläinsolu
ertpeltähti 	kylkiluu
fiskisrääsi 	niittyleinikki
fiskisvälli 	keltahaukka
gaaseel 	gaselli
hajâsajos 	hajualue
happinallii 	happipitoinen
hervâcuozzâ 	värikalvo
hirmoskozzâtlisko 	hirmukynsilisko
hiävuštoonâs 	kanerva
hurgeeh 	kiitäjät
hágá 	häkä
häblejee 	kuohkeuttaja
härjilisko 	harjalisko
idâtähti 	polvilumpio
ijjâgááh 	yökköset
ijjâpiäivááloddááh 	yöperhoset
irdut 	tulehdus (haava)
irve 	saukon pesä
iäláán 	eliö
iälšu 	kunto
iämádâh 	emätin
iđosšadoh 	itiökasvit
jalvâ 	jalava
jamâstuđ 	turtua
jienâsaanjâ 	äänenmurros
jietânâskáránâskuáskim 	jättiläiskorppikotka
jietânâstuhháátjuolgâg 	jättiläistuhatjalkainen
juovâääpi 	kivikkoaavikko
jutteselgi 	harmaakuvemyyrä, punamyyrä
kaavrâs 	kauris
kavrâs jorgáldâskiärdu 	kauriin kääntöpiiri
kašmârdeijee 	matelija
kepispoccee 	keuhkoputki
kepispuuljâr 	keuhkorakkula
kiccimtivre 	turkkilo
kieddihurgee 	kenttäkiitäjäinen
kieddinjuámmilsyeini 	nurmilauha
kieddiviola 	keto-orvokki
kiehârâttâm 	keuhkoputki
kierâdâh 	latvus
kierâdâhkerdi 	latvuskerros
kietâruotâstähti 	ranneluu
kievânjuolâs 	maitohorsma
kiirjâgloddááš 	kirjosieppo
kildos 	kiille
kirdeelisko 	lentolisko
kiärpášfášku 	kärpäslätkä
kolbâcuábui 	kilpikonna
kollepuállu 	pietaryrtti
kolmâ stielâs 	kylmä vyöhyke
koppákuorijááh	kovakuoriaiset
koskâpelji 	välikorva
koskâšoŋŋâdâh 	väli-ilmasto
kossâvákká 	nelipäinen pakaralihas
kossâčuáli 	paksusuoli
kozzârääsi 	kannusruoho
koškejolgâdâs 	aro
kođos 	kudos
kuddum 	tulehdus
kuddut 	tulehtua
kudduđ 	tulla lumisokeaksi 
kuloniärvá 	kuulohermo
kulotäävtih 	kuuloluut
kulâtteijee 	kuluttaja
kume stielâs 	kuuma vyöhyke
kunâgâtâr 	kuningatar
kuobârsáigustâh 	sienirihmasto
kuolah 	kivekset
kuorâttâllâmnakcâ 	harkintakyky
kuovđâ 	keidas
kuovđâšmmáálám 	luolamaalaus
kuullâmsajos 	kuuloalue
kuulmâčoorvâglisko 	kolmisarvilisko
kuuloold tábáhtuvvee hämimolsom 	vähittäinen muodonvaihdos
kuággumlokke 	kurkunkansi
kuáhtu 	kohtu
kyeppirellee 	sorkkaeläin
kähisteijeeviigun 	kuristajaviikuna
käŋŋirtähti 	kyynärluu
lanne 	palatsi
lapsemáátu 	kastemato
lekkâkyeli 	mustekala
lieggâ stielâs 	lämmin vyöhyke
liegâsvuođâstielâs 	lämpövyöhyke
lieđikovjâkenno 	siitepölykenno
lihcâslágán 	hyytelömäinen
lihâstâs 	liike
lihâstâssajos 	liikealue
linssâ 	linssi l. mykiö
liskolodde 	liskolintu
liähmus stielâs 	lauhkea vyöhyke
loovdâsuájáh 	peitinsiivet
lođâsjuálgásiih 	niveljalkaiset
lođâskolgos 	nivelneste
lođâsčoovâr 	nivelrusto
lođâsčoovâs 	nivelpussi
lággá 	ohutsuoli
lädikuávskâ 	harakka
lädisäplig 	metsähiiri
maahooŋk 	mahonki
maarun 	maruna
mammutlisko 	mammuttilisko
manesellâ 	munasolu
manestellimorgaan 	muna-asetin
merâšoŋŋâdâh 	meri-ilmasto
mielgâ 	rintalasta
miestâsare 	pensasmustikka
mietâ 	hunaja
mietâmiäđušijn	mehiläinen
mineraalamnâseh 	kivennäisaineet
mittáreh 	mittarit
morčessuonâ 	laskimo
muldemáátu 	liero
muldesäplig 	peltomyyrä
muoldâg 	maamyyrä
muorâtikke 	puutiainen, punkki
muotâvierâ 	lumivyöry
murânem 	rapautuminen
muátuteehih 	kasvolihakset
myskivuáksá 	myskihärkä
máhusajos 	makualue
mánusâčah 	kuukautiset
määdiapinah 	etelänapinat
nannaamšoŋŋâdâh 	mannerilmasto
nervâ 	hermo
nijttokiällurääsi 	ojakellukka
nijttosaappâl 	niittynätkelmä
niärvádâh 	hermosto
njihânjâs 	hikka
njiäluráksákuddum 	nielurisatulehdus
njuálccuđ 	veltostua
nurssáá 	tylppä
nävli 	siitin eli penis
nääli 	piirre
olŋâ 	ien
oomeenpiäivááloddááš 	omenakääriäinen
oođâ 	luuydin
orgaan 	elin
organismâ 	elimistö
ovdedemeennâm 	kehitysmaa
paajeeb uálgitähti 	solisluu
pajoseh 	ylänkö
panneeh 	kehrääjät
pargomietâmiäđušijn 	työmehiläinen
peivipiäivááloddááh 	päiväperhoset
peivirääsi 	päivänkakkara
peljicuozzâ 	tärykalvo
peljilostâ 	korvalehti
peljipilttostereoh 	korvalappustereot
peljipoccee 	korvatorvi
pennuunjuovčâ 	kultapiisku
pieđgejeijee 	hajottaja
pihlejâšmyerjimuocâ 	pihlajanmarjakoi
pikkâamnâseh 	terva-aineet
pillerjurâtteijee 	pillerinpyörittäjä
pirrâmâšpoccee 	ruokatorvi
piäjukuobžâ 	luolakarhu
piäldukuállá 	peltosaunio
piättârrääsi 	siankärsämö
plakki 	plakki
pottâčuáli 	peräsuoli
pudde 	punta
puosâh 	sairaalloinen
purrâmâšsuddâdemuáli 	ruuansulatuskanava
purâluđ 	syöpyä
puurâs 	syöpä
puácuvuotâ 	sairaus
puáimulostâ 	poimulehti
puállutähti 	nilkanluu
pyekki 	pyökki
pyevtitteijee 	tuottaja
pänikääpijâš 	hammasleukakääpiäinen
pänimaadâ 	hampaan juuri
raddetekki	iso rintalihas
raddevuovdâ 	rintaontelo
rapu jorgáldâskiärdu 	ravun kääntöpiiri
rapuellee 	äyriäinen
rippo 	etana
rippokuáti 	simpukka (korvassa)
ruhâdelleeaččin 	rukoilijasirkka
rumâškuáddu 	ryhti
ruopsisjiereeh 	punaherukka
ruopsiskaaneel 	punakaneli
