lemma_võro,lemma_estonian,lemma_finnish,lemma_english,lemma_saami,lemma_norwegian,lemma_swedish,lemma_german,pos,semtype,audio,,,
aadrõs',aadress,osoite,address,adreassa,adresse,adress,adresse_DEU,N,TEXT,https://synaq.org/priv/heli/ev/000100015.mp3,,,
aastagaaig,aastaaeg,vuodenaika,season,jagiáigi,årstid,årstid,årstid_DEU,N,TIME_OTHER,https://synaq.org/priv/heli/ev/000100054.mp3,,,
aastak,aasta,vuosi,year,jahki,år,år,år_DEU,N,TIME_DUR,,,,
abi,abi,apu,help,veahkki,hjelp,hjälpare,hjelp_DEU,N,ACTOR,https://synaq.org/priv/heli/ev/000100092.mp3,,,
abielo,abielu,avioliitto,marriage,náittosdilli,ekteskap,ekteskap_SWE,ekteskap_DEU,N,ABSTRACT,https://synaq.org/priv/heli/ev/000100098.mp3,,,
ahi,ahi,uuni,oven,oapman,ovn,ovn_SWE,ovn_DEU,N,FURNITURE,https://synaq.org/priv/heli/ev/000100371.mp3,,,
ahtagõnõ,kitsas,kapea,narrow,gárži,trang,trång,trang_DEU,A,NATURE_A,https://synaq.org/priv/heli/ev/000100348.mp3,,,
ahtakõnõ,kitsas,ahdas,narrow,baski,trang,trång,trang_DEU,A,CLOTHING_A,https://synaq.org/priv/heli/ev/000100348.mp3,,,
aig,aeg,aika,time,áigi,tid,tid,tid_DEU,N,TIME_OTHER,https://synaq.org/priv/heli/ev/000100055.mp3,,,
aiglanõ,aeglane,hidas,slow,hiđis,langsom,långsam,langsom_DEU,A,ANIMAL_A,https://synaq.org/priv/heli/ev/000100219.mp3,,,
aiglanõ,aeglane,hidas,slow,njoahci,langsom,långsam,langsom_DEU,A,ANIMAL_A,https://synaq.org/priv/heli/ev/000100219.mp3,,,
aiglanõ,aeglane,hiljainen,slow,hillján,langsom,långsam,langsom_DEU,A,HUM_A,https://synaq.org/priv/heli/ev/000100219.mp3,,,
ainukõnõ,ainuke,ainoa,only,áidna,den eneste,den enda,den eneste_DEU,A,ISSUE_A,https://synaq.org/priv/heli/ev/000100502.mp3,,,
ainõq,aine,aine,material,ávnnas,materiale,material,materiale_DEU,N,YYY,https://synaq.org/priv/heli/ev/000100491.mp3,,,
aiteh,aitäh,kiitos,thanks,giittos,takk,tack,takk_DEU,N,LANGUAGEPART,,,,
aknõlaud,aknalaud,ikkunalauta,window sill,lássalávdi,vinduspost,fönsterbräda,vinduspost_DEU,N,ROOMPART,,,,
akõn',aken,ikkuna,window,láseráigi,vindu,fönster,vindu_DEU,N,ROOMPART,https://synaq.org/priv/heli/ev/000100611.mp3,,,
alostama,algama,alkaa,begin,álgit,begynne,börja,beginnen,V,AUX_V,https://synaq.org/priv/heli/ev/000100780.mp3,,,
alostama,alustama,aloittaa,begin,álggahit,sette i gang,sätta igång,beginnen,V,ACTION_V,https://synaq.org/priv/heli/ev/000100780.mp3,,,
alostus,algus,alku,beginning,álgu,begynnelse,början,begynnelse_DEU,N,TEXT,https://synaq.org/priv/heli/ev/000100784.mp3,,,
ammõt',amet,ammatti,profession,ámmát,embete,embete_SWE,embete_DEU,N,JOB,https://synaq.org/priv/heli/ev/000100966.mp3,,,
